Term [en-US],Term [ar],Term [zh-CN],Term [zh-TW],Term [nl-NL],Term [fr],Term [de-DE],Term [el-GR],Term [ha-NG],Term [hi-IN],Term [hu-HU],Term [id-ID],Term [it-IT],Term [ja-JP],Term [ko-KR],Term [fa-AF],Term [ms-MY],Term [pcm],Term [pl-PL],Term [pt-BR],Term [ro-RO],Term [ru-RU],Term [es-419],Term [tl],Term [th-TH],Term [tr-TR],Term [uk-UA],Term [vi-VN],Term [en-GB]
Default,افتراضية,默认,預設值,standaard,Par défaut,Standard,Προεπιλογή,Tsohuwar,डिफॉल्ट,alapértelmezett,Default,Predefinite,デフォルト,예치,پیش‌فرض,Lalai,Default setting,Domyślne,Padrão,Prestabilit,По умолчанию,por defecto,Default,ค่าเริ่มต้น,Varsayılan,За замовчуванням,Mặc định,
DeFi,تمويل لامركزي (DeFi),去中心化金融,去中心化金融,DeFi,DeFi,DeFi,DeFi (αποκεντρωμένη χρηματοοικονομική),Tattalin arziƙi na dijital na cin gashin kansa,DeFi,DeFi,DeFi,DeFi,DeFi,디파이,دیفای,DeFi,DeFi,DeFi,DeFi,DeFi,DeFi,DeFi,DeFi,DeFi,DeFi,DeFi,DeFi,
DeFi Read API,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeFi Write API,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delegated proof of stake (DPoS),DPoS,DPoS,DPoS,DPoS,DPoS,DPoS,DPoS,DPoS,DPoS,DPoS,DPoS,DPoS,DPoS,DPoS,DPoS,DPoS,DPoS,DPoS,DPoS,DPoS,DPoS,DPoS,DPoS,DPoS,DPoS,DPoS,DPoS,
Delete,حذف,删除,刪除,verwijderen,Supprimer,Löschen,Delete (Διαγραφή),Goge,मिटाएं,törlés,Hapus,Elimina,削除,삭제,حذف,Padam,Delete,Usuń,Excluir,Șterge,Удалить,borrar,Tanggalin,ลบ,Sil,Видалити,Xóa,
denominations,إيثر,以太币（面额）,以太幣,ether (denominaties),ether (dénominations),Ether (Denominationen),ether (denominations),Ƙananan sassan ETH,ईथर (ether) (डीनॉमिनेशन्स),ether,ether (denominations),ether (denominazioni),ether,에테르(단위),اتر (نام‌گذاری‌ها),ether,moni unit for ETH,ether (nominały),ether (denominações),ether (denumiri),эфир (номиналы),ether (denominaciones),ether (mga denominasyon),อีเทอร์,ether (değerler),ефір (номінали),ether (mệnh giá),
deposit,الإيداع,保证金,入金,storten,conservation,Einzahlung,κατάθεση,Ajiya,डिपॉज़िट,letét,deposit,deposito,デポジット,예치,واریز,deposit,Put money for something,Depozyt,depositar,depozit,депозит,depósito,deposito,ฝาก,para yatırma,депозит,gửi tiền,
derive,يشتقّ / اشتقاق,衍生品,金融衍生品,afleiden/afleiding,dériver / dérivation,Ableiten / Ableitung,παραγωγή / προέλευση,Samo,डीराइव / डेरिवेशन,származás/származtatás,berasal / turunan,deriva / derivazione,導き出す / 導出,파생 / 파생,مشتق شدن/اشتقاق,terbitan / derivasi,Comot from inside,Uzyskiwanie,derivar / derivação,a deriva/derivare,сделать вывод / вывод/извлекать/выводить/производное от,derivar / derivación,nagmula / pinagmulan,ได้มาจาก / อนุพัทธ์,türev / türetme,Вивести/деривація,phái sinh/phái sinh,
dev,مُطورّ,开发者,開發者,ontwikkelaar,dev.,Entwickler,Προγραμματιστής,Mai ƙirƙira,dev,dev,dev,dev,Dev,개발자,توسعه دهنده,dev,Person wey dey build di software,Dev,dev,dev,разраб,desarrollador,dev,นักพัฒนา,geliştirici,розробник,nhà lập trình,
Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Конференция разработчиков,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,
developer,مُطورّ,,開發者,Ontwikkelaar,Développeur,Entwickler,Προγραμματιστής,Mai ƙirƙira,Developer,Fejlesztő,Pengembang,Sviluppatore,開発者,개발자,توسعه دهنده,Pembangun,Person wey dey build di software,Twórca oprogramowania,Desenvolvedor,Programator,Разработчик,Desarrollador,Developer,นักพัฒนา,Geliştirici,Розробник,Nhà lập trình,
Device,جهاز,设备,裝置,apparaat,Appareil,Gerät,Device (Συσκευή),Na'ura,डिवाइस,Eszköz,Perangkat,Dispositivo,デバイス,장치,دستگاه,Peranti,Machine,Urządzenie,Dispositivo,Dispozitiv,Устройство,dispositivo,Device,อุปกรณ์,Cihaz,Пристрій,Thiết bị,
DEX,بورصة لامركزية (DEX),去中心化交易所,去中心化交易所,DEX,échange décentralisé,DEX,DEX (αποκεντρωμένη ανταλλαγή),Kasuwancin dijital na cin gashin kansa,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,
difficulty,صعوبة التعدين,难度,難度值,difficulty/moeilijkheid,difficulté,Schwierigkeit,δυσκολία,wahala,डिफीकल्टी,nehézség,kesulitan,difficoltà,ディフィカルティー (採掘難易度),난이도,سختی,kesukaran,How hard e be to mine new coins,Trudność,dificuldade,dificultate,сложность,dificultad,kahirapan,ความยากในการขุด,zorluk,складність,độ khó,
difficulty bomb,انفجار الصعوبة,难度炸弹,難度炸彈,difficulty bomb,bombe de difficulté,Schwierigkeitsbombe,βόμβα δυσκολίας,Bom ɗin wahala,डिफीकल्टी बॉम्ब,nehézségi bomba,difficulty bomb,difficulty bomb,ディフィカルティボム,난이도 폭탄,بمب سختی,bom kesukaran,Something wey dey make mining harder and harder over time,Bomba trudności,bomba de dificuldade,difficulty bomb,бомба сложности,bomba de dificultad,difficulty bomb,ปรับความยากจนขุดไม่ได้,zorluk bombası,бомба складності,bom độ khó,
digital asset,أصل رقمي,数字资产,數位資產,digitale asset,actif numérique,Digitales Asset,ψηφιακά διαθέσιμα στοιχεία,Kadarorin dijital,डिजिटल एसेट,digitális eszköz,aset digital,asset digitale,デジタル資産,디지털 자산,دارایی دیجیتال,aset digital,Oga digital property wey you fit buy and sell,Aktywa cyfrowe,ativo digital,activ digital,цифровой актив,activo digital,digital na asset,สินทรัพย์ดิจิทัล,dijital varlık,цифровий актив,tài sản kỹ thuật số,
digital identity,هوية رقمية,数字身份,數位身分,digitale identiteit,identité numérique,Digitale Identität,ψηφιακή ταυτότητα,Shaida ta dijital,डिजिटल आइडेंटिटी,digitális identitás,identitas digital,identità digitale,デジタルアイデンティティ,디지털 신원,هویت دیجیتال,identiti digital,Who you be online,Tożsamość cyfrowa,identidade digital,identitate digitală,цифровая личность,identidad digital,digital na pagkakakilanlan,อัตลักษณ์ดิจิทัล,dijital kimlik,цифрова ідентичність,nhận dạng kỹ thuật số,
digital signature,توقيع رقمي,电子签名,數位簽章,digitale handtekening,Signature numérique,Digitale Signatur,ψηφιακή υπογραφή,Sanya hannu ta dijital,डिजिटल सिग्नेचर,digitális aláírás,Tanda tangan digital,Firma digitale,デジタル署名,전자 서명,امضای دیجیتال,Tandatangan digital,Oga code wey prove say na you sign something,Podpis cyfrowy,Assinatura digital,Semnătură digitală,Цифровая подпись,firma digital,Digital na lagda,ลายเซ็นดิจิทัล,Dijital imza,Цифровий підпис,Chữ ký số,
Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,
Disable,تعطيلّ,禁用,停用,uitschakelen,Désactiver,Deaktivieren,Disable (Απενεργοποίηση),Kashe,बंद करें,letiltás,Nonaktifkan,Disabilita,無効にする,비활성화,غیرفعال کردن,Nyahdayakan,Turn off,Dezaktywuj,Desativar,Schilodire,Отключить,desactivar,Huwag paganahin,ปิดใช้งาน,Devre Dışı Bırak,Вимкнути,Tắt,
Distributed Ledger Technology,تقنية دفتر الأستاذ الموزع,分布式账本技术,分散式帳本技術,distributed ledger technology,Technologie de registre distribué,Distributed-Ledger-Technologie,Τεχνολογία Κατανεμημένου Καθολικού ,Fasaha ta littafi na rarrabawa,Distributed Ledger Technology,elosztott főkönyvi technológia (DLT),Teknologi Ledger Terdistribusi,Distributed Ledger Technology,分散型台帳技術,분산 원장 기술,فناوری دفترکل توزیع‌شده,Teknologi Lejar Teragih,Technology wey dey use create distributed ledgers,Technologia rozproszonego rejestru,Tecnologia de registro distribuído,Tehnologia registrelor distribuite,Технология распределенных реестров,tecnología de registro distribuido,Distributed Ledger Technology,เทคโนโลยีการจดบัญชีแบบกระจาย,dağıtılmış hesap defteri Teknolojisi,Технологія розподіленого реєстру,Công nghệ sổ cái phân tán,
DLT,DLT,DLT,DLT,DLT,DLT,DLT,DLT,Fasaha ta littafi na rarrabawa,DLT,DLT,DLT,DLT,DLT,DLT,DLT,DLT,Technology wey dey use create distributed ledgers,DLT,DLT,DLT,DLT,DLT,DLT,DLT,DLT,DLT,DLT,
double spend,إنفاق مزدوج,双重支付,雙重支付,double-spending,Double dépense,Doppelte Ausgaben,double spend,Biyan kuɗi sau biyu,डबल स्पेंड,dupla költés,penggunaan ganda,doppia spesa,二重支払い,이중 지불,دوبار خرج‌کردن,perbelanjaan berganda,Spend moni two times palava,Podwójne wydatkowanie (double spend),gasto duplo,cheltuială dublă,двойное расходование,doble gasto,dobleng paggasta,จ่ายซ้ำ,çift harcama,подвійна трата,chi tiêu kép,
Download,تنزيلّ,下载,下載,downloaden,Télécharger,Herunterladen,Download (Λήψη),Zazzagewa,डाउनलोड करें,letöltés,Unduh,Scarica,ダウンロード,다운로드,دانلود,Muat turun,Download,Pobierz,Baixar,Descarcă,Скачать,descargar,I-download,ดาวน์โหลด,İndir,Завантажити,Tải xuống,
Dropped,فاشلة,失败,交易失敗,gedropt,Déconnecté,Abgebrochen,Dropped (Απορρίφθηκαν),An soke,बदला गया,megszakadt,Dihapus,Interrotta,削除済み / 削除された,중단됨,ناموفق,Tercicir,Transaction wey fail,Wycofano,Abandonada,Întrerupt,Отменено,descartada,Nahulog,ถูกยกเลิก,Drop,Скасована,Thất bại,
ecosystem,النظام البيئي,生态系统,生態圈,ecosysteem,écosystème,Ökosystem,οικοσύστημα,Muhalli na dijital,इकोसिस्टम,ökoszisztéma,ekosistem,ecosistema,エコシステム,생태계,اکوسیستم,ekosistem,Community wey support each other for crypto,Ekosystem,ecossistema,ecosistem,экосистема,ecosistema,ekosistema,ระบบนิเวศ,ekosistem,екосистема,hệ sinh thái,
Edge,Edge,Edge,Edge,Edge,Edge,Edge,Edge,Edge,Edge,Edge,Edge,Edge,Edge,Edge,Edge,Edge,Edge ,Edge,Edge,Edge,"Граничные (Edge, if браузер)",Edge,Edge,Edge,Edge,Edge,Edge,
Edit,تحرير,编辑,編輯,bewerken,Modifier,Bearbeiten,Edit (Επεξεργασία),Gyara ,बदलें,Szerkesztés,Edit,Modifica,編集,편집,ویرایش,Edit,Edit,Edytuj,Editar,Editează,Изменить,editar,I-edit,แก้ไข,Düzenle,Редагувати,Sửa,
EEA,تحالف Ethereum للمؤسسات (EEA),以太坊企业联盟,企業以太坊聯盟,Enterprise Ethereum Alliance (EEA),Enterprise Ethereum Alliance (EEA),Enterprise Ethereum Alliance (EEA),Enterprise Ethereum Alliance (EEA),Ƙungiyar Ethereum na Ƙwararru (EEA),एंटरप्राइज़ एथेरियम एलायंस (EEA),Enterprise Ethereum Alliance (EEA),Enterprise Ethereum Alliance (EEA),Enterprise Ethereum Alliance (EEA),エンタープライズ・イーサリアム・アライアンス (EEA),엔터프라이즈 Ethereum 얼라이언스(EEA),‏اتحاد سازمانی اتریوم (EEA),Perikatan Ethereum Perusahaan (EEA),Enterprise Ethereum Alliance (EEA),Enterprise Ethereum Alliance (EEA),Enterprise Ethereum Alliance (EEA),Enterprise Ethereum Alliance (EEA),Альянс разработчиков Ethereum (EEA),Enterprise Ethereum Alliance (EEA),Enterprise Ethereum Alliance (EEA),กลุ่มพันธมิตร Enterprise Ethereum Alliance (EEA),Kurumsal Ethereum İttifakı (EEA),Альянс корпоративного ефіру (EEA),Liên minh Doanh nghiệp Ethereum (EEA),
EIP-1559,EIP-1559,Ethereum 改进提议（EIP）-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,Di Ethereum improvement wey change transaction fees (EIP-1559),EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,
Enable,تفعيل,启用,授權,inschakelen,Activer,Aktivieren,Enable (Ενεργοποίηση),Kunna,चालू करें,engedélyezés,Aktifkan,Abilita,有効にする,활성화,فعال کردن,Dayakan,Turn on,Aktywuj,Ativar,Activare,Включить,activar,Paganahin,เปิดใช้งาน,Etkinleştir,Увімкнути,Bật,
encrypted keys,المفاتيح المشفرة مقابل غير المشفرة,加密密钥与未加密密钥,加密金鑰 VS 未加密金鑰,sleutels met of zonder encryptie,clés chiffrées ou clés en clair,Verschlüsselte vs. unverschlüsselte Schlüssel,κρυπτογραφημένα έναντι μη κρυπτογραφημένων κλειδιών,Makullin da aka ɓoye vs makullin da ba a ɓoye ba,एन्क्रिप्टेड बनाम अनएन्क्रिप्टेड कीज़ (keys),titkosított vs. titkosítatlan kulcsok,kunci terenkripsi vs tidak terenkripsi,chiavi crittografate vs non crittografate,暗号化鍵 vs 非暗号化鍵,암호화된 키와 암호화되지 않은 키,کلیدهای رمزگذاری شده در مقابل کلیدهای رمزگذاری نشده,kunci terenkripsi vs tidak terenkripsi,Keys wey dey hidden vs keys wey anybody fit see,Klucze zaszyfrowane a niezaszyfrowane,chaves criptografadas vs não criptografadas,chei criptate vs. chei necriptate,зашифрованные и незашифрованные ключи,claves cifradas vs no cifradas,naka-encrypt kumpara sa mga hindi naka-encrypt na key,คีย์เข้ารหัส / คีย์ไม่เข้ารหัส,şifrelenmiş ve  şifrelenmemiş anahtarlar,зашифровані проти незашифрованих ключів,khóa được mã hóa và khoá không được mã hóa,
encryption,التشفير,加密,加密,encryptie/versleuteling,Chiffrement,Verschlüsselung,κρυπτογράφηση,Buyar bayanai,एन्क्रिप्शन,titkosítás,enkripsi,Crittografia,暗号化,암호화,رمزگذاری,enkripsi,Locking your data so only you fit open am,Szyfrowanie,criptografia,criptare,шифрование,cifrado,pag-encrypt,การเข้ารหัส,şifreleme,шифрування,mã hóa,
ENS,بروتوكول ENS,ENS（Ethereum 域名服务）,以太坊域名服務,ENS,ENS,ENS,ENS,Sabis na Sunan Ethereum,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,
entropy,إنتروبيا,熵,熵,entropie,entropie,Entropie,εντροπία,rashin tsari,एन्ट्रॉपी,entrópia,entropi,entropia,エントロピー,엔트로피,بی‌نظمی,entropi,scatta scatta wey get security,Entropia,entropia,entropie,энтропия,entropía,entropy,เอนโทรปี,entropi,ентропія,độ hỗn loạn,
epoch,حقبة,时段,時間週期,epoch,époque,Epoche,χρονική σήμανση,Lokaci,एपोच (epoch),korszak,epok,epoch,エポック,에폭,دوره زمانی/ایپاک,epoch,One period of time in di blockchain,Epoka,época,epoch,эпоха,época,kapanahunan,อีพอกช์,epoch,епоха,epoch,
ERC,ERC,Ethereum 征求修正意见书（ERC）,ERC,ERC,ERC,ERC,ERC,Shawarar Haɗin Ethereum,ERC,ERC,ERC,ERC,ERC,ERC,ERC,ERC,ERC,ERC,ERC,ERC,ERC,ERC,ERC,ERC,ERC,ERC,ERC,
ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,
ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,
ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,
Error,خطأ,错误,錯誤,fout,Erreur,Fehler,Error (Σφάλμα),Kuskure,गड़बड़ी,hiba,Kesalahan,Errore,エラー,오류,خطا,Ralat,Error,Błąd,Erro,Error,Ошибка,error,Error,ข้อผิดพลาด,Hata,Помилка,Lỗi,
ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,
ether ,إيثر (ETH),以太币（ETH）,以太幣,ether (ETH),ether (ETH),Ether (ETH),ether (ETH),ETH,ईथर (ether) (ETH),éter (ETH),ether (ETH),ether (ETH),イーサ,에테르(ETH),اتر (ETH),ether (ETH),Native coin of di Ethereum network,ether (ETH),ether (ETH),ether (ETH),эфир (ETH),ether (ETH),ether (ETH),อีเทอร์ (ETH),ether (ETH),ефір (ETH),ether (ETH),
Ethereum,Ethereum,以太坊,以太坊,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,イーサリアム,이더리움,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,
Ethereum 2.0,Ethereum 2.0,以太坊 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,
Ethereum Improvement Proposal,مقترحات تحسين الإثيريوم (EIP),EIP,以太坊改進提案,EIP (Ethereum Improvement Proposal),Propositions d’amélioration d’Ethereum (EIP),Ethereum Improvement Proposal (EIP),Ethereum Improvement Proposal (EIP),Shawarar Inganta Ethereum,एथेरियम इम्प्रूवमेंट प्रपोज़ल (EIP),Ethereum javítási protokollok (EIP),Proposal Peningkatan Ethereum (EIP),Ethereum Improvement Proposal (EIP),イーサリアム改善提案 (EIP),이더리움 개선 제안(EIP),پروتکل‌های بهبود اتریوم (EIP),Cadangan Penambahbaikan Ethereum (EIP),Suggestion for changing di Ethereum network,EIP – Ethereum Improvement Proposal (propozycja ulepszenia sieci Ethereum),Proposta de melhoria da Ethereum (EIP),Propunere de îmbunătățire Ethereum (EIP),Предложение по улучшению Ethereum (EIP),propuesta de mejora de Ethereum (EIP),Ethereum Improvement Proposal (EIP),ข้อเสนอการปรับปรุง Ethereum (EIP),Ethereum Geliştirme Teklifi (EIP),Пропозиція щодо вдосконалення Ethereum (EIP),Đề xuất cải tiến Ethereum (EIP),
Ethereum Mainnet,شبكة إيثريوم الرئيسية (Mainnet),Ethereum Mainnet,以太坊主網路,Ethereum Mainnet,Réseau principal Ethereum ,Ethereum Mainnet,Ethereum Mainnet,Ethereum Mainnet,एथेरियम मेननेट,Ethereum Mainnet,Mainnet Ethereum ,Ethereum Mainnet,Ethereum メインネット,Ethereum 메인넷,شبکه اصلی اتریوم,Ethereum Mainnet,Main Ethereum network,Mainnet Ethereum,Mainnet da Ethereum,Mainnet Ethereum,Мейн-нет Ethereum,red principal de Ethereum,Mainnet ng Ethereum,เครือข่ายหลัก Ethereum,Ethereum Ana Ağı,Основна мережа Ethereum,Ethereum Mainnet,
Ethereum Name Service,خدمة أسماء الإيثيريوم (ENS),以太坊域名服务,以太坊域名服務,Ethereum Name Service,Service de nomination d’Ethereum (ENS),Ethereum-Namensservice,Ethereum Name Service,Sabis na Sunan Ethereum (ENS),एथेरियम नेम सर्विस,Ethereum névszolgáltatás,Layanan Nama Ethereum,Ethereum Name Service,イーサリアムネームサービス,이더리움 네임 서비스,سرویس نام اتریوم,Perkhidmatan Nama Ethereum,ENS,Ethereum Name Service (usługa nazw Ethereum),Serviço de nomes Ethereum,Ethereum Name Service,Служба имен Ethereum,servicio de nombres de Ethereum,Ethereum Name Service,เนมเซอร์วิส Ethereum,Ethereum İsimlendirme Hizmeti,Служба імен Ethereum,Dịch vụ đăng ký tên miền trên Ethereum (ENS),
Ethereum Virtual Machine,محرك إيثريوم الافتراضي (EVM),Ethereum 虚拟机,以太坊虛擬機,Ethereum Virtual Machine,Machine virtuelle Ethereum,Ethereum Virtual Machine,Εικονική μηχανή Ethereum,Na'urar aiwatarwa na Ethereum (EVM),Ethereum Virtual Machine,Ethereum virtuális gép,Mesin Virtual Ethereum,Ethereum Virtual Machine,Ethereum 仮想マシン,Ethereum 가상 머신,ماشین مجازی اتریوم,Mesin Maya Ethereum,Machine wey dey make Ethereum work,Ethereum Virtual Machine (maszyna wirtualna Ethereum),Máquina Virtual Ethereum,Mașină virtuală Ethereum,Виртуальная машина Ethereum,máquina virtual de Ethereum,Ethereum Virtual Machine,เครื่องมือจำลอง Ethereum,Ethereum Sanal Makinesi,Віртуальна машина Ethereum,Máy ảo Ethereum,
Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,
EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,
EVM,EVM,EVM（Ethereum 虚拟机）,以太坊虛擬機,EVM,EVM,EVM,EVM (Εικονική μηχανή Ethereum),Na'urar aiwatarwa na Ethereum (EVM),EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,
exchange,بورصة,交易所,交易所,exchange/cryptobeurs,échange,Börse,ανταλλαγή,kasuwanci,एक्सचेंज,tőzsde,bursa,exchange,取引所,거래소,صرافی,pertukaran,platform wey you fit buy and sell crypto,Giełda,corretora,schimb,биржа,cambio,palitan,ตลาดแลกเปลี่ยน,borsa,біржа,sàn giao dịch,
execution client,عميل التنفيذ,执行客户端,執行客戶端,uitvoeringsclient,Client d’exécution,Ausführungs-Client,Πελάτης εκτέλεσης,Abokin aiwatarwa na na'urar aiwatarwa na Ethereum,एक्सीक्यूशन क्लाइंट,végrehajtási kliens,Klien eksekusi,Client di esecuzione,実行クライアント,실행 클라이언트,کلاینت اجرا,Klien pelaksanaan,software wey dey run transaction for Ethereum blockchain,Klient wykonawczy,Cliente de execução,Client de execuție,Клиент-исполнитель,cliente de ejecución,Kliyente sa pagpapatupad,ไคลเอ็นต์ดำเนินการ,Yürütme istemcisi,Виконавчий клієнт,Ứng dụng thực thi,
execution layer,طبقة التنفيذ,执行层,執行層,uitvoeringslaag,Couche d’exécution,Ausführungs-Layer,Επίπεδο εκτέλεσης,Matsayin aiwatarwa,एक्सीक्यूशन लेयर,végrehajtási réteg,Layer eksekusi,Layer di esecuzione,実行レイヤー,실행 레이어,لایه اجرا,Lapisan pelaksanaan,Part of di network wey dey handle di execution clients,Warstwa wykonawcza,Camada de execução,Layer de execuție,Слой исполнения,capa de ejecución,Layer ng pagpapatupad,เลเยอร์ดำเนินการ,Yürütme katmanı,Виконавчий рівень,Lớp thực thi,
Experimental,تجريبي,实验性,實驗性,experimenteel,Expérimental,Experimentell,Experimental (Πειραματικός),Gwaji,एक्सपेरिमेंटल,kísérleti,Eksperimental,Sperimentale,試験運用,실험적,آزمایشی,eksperimental,New feature wey them still dey test,Eksperymentalne,Experimental,Experimental,Экспериментальные,experimental,Eksperimental,ทดลอง,Deneysel,Експериментальний,Thử nghiệm,
Export,تصدير,导出,輸出,exporteren,Exporter,Exportieren,Export (Εξαγωγή),Fitar,एक्सपोर्ट करें,exportálás,Ekspor,Esporta,エクスポート,내보내기,ارسال,Eksport,Export,Eksportuj,Exportar,Exportă,Экспорт,exportar,I-export,ส่งออก,Dışa Aktar,Експорт,Xuất,
Extension,امتداد,扩展程序,擴充套件,extensie,Extension,Erweiterung,Επέκταση,Haɗin sirri na MetaMask,एक्सटेंशन,böngészőbővítmény,Ekstensi,Estensione,拡張機能,확장,افزونه,Sambungan,Small program wey dem add for browser or software,Rozszerzenie,Extensão,Extensie,Расширение,extensión,Extension,ส่วนขยาย,Uzantı,Розширення,Tiện ích mở rộng,
Failed,فاشلة,失败,失敗,mislukt,Échec,Fehlgeschlagen,Failed (Αποτυχία),Rashin nasara,नहीं हो पाया,sikertelen,Gagal,Fallita,失敗 / 失敗した,실패,ناموق,Gagal,Failed,Niepowodzenie,Falha/falho/falha no,Eșuat,Неудачный/ая/ое,fallido/a,Nabigo,ล้มเหลว,Başarısız,Невдалий(а),Thất bại,
Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,
faucet,صنبور العملة الرقمية,水龙头,水龍頭,faucet,faucet,Faucet,faucet,faucet,फॉसेट (faucet),csap,faucet,faucet,フォーセット,파우셋,درآمد قطره‌ای,faucet,App wey dey give small amount of free crypto for new users,Kranik / faucet,torneira,faucet,кран,grifo,faucet,ฟอเซ็ต,musluk,збирач,vòi,
fault-tolerant,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiat currency,عملة ورقية,法币,法定貨幣,fiatgeld/fiduciair geld,devise fiat /monnaie fiat,Fiatwährung,παραστατικό χρήμα,Kudin gargajiya,फिएट करेंसी,fiat valuta,mata uang fiat,moneta legale,法定通貨,명목화폐,ارز فیات,mata wang fiat,Government money,Waluta fiat / pieniądz fiducjarny,moeda fiduciária,monedă fiduciară,фиатная валюта,moneda fiduciaria,fiat na salapi,เงินเฟียต,fiat para,фіатна валюта,tiền pháp định,
finality,نهائي، النهائية,最终性,最終,"onwijzigbaar, finaliteit","finale, finalité","final, Finality","τελειωτικός διακανονισμός με βεβαιότητα, βεβαιότητα","Ƙarshe, Tabbatarwa","फाइनल, फाइनलिटी","végleges, véglegesség","final, finalitas","finale, finality","確定, ファイナリティ","최종, 완결성",قطعی، قطعیت,"akhir, muktamad","No going back, transaction don complete","Ostateczność, nieodwołalność","final, finalização","final, finalitate","завершение, завершенность","final, finalidad","wakas, pangwakas",ยอดสรุปสุดท้าย,"son, kesinlik","остаточна, остаточність","sau cùng, cuối cùng",
