Term,Part of speech,Term Category,Phonetic,Definition,Source,Date first recorded
fork,noun,decentralized web,/fɔrk/,"Forking' is a term that comes from the world of collaborative software development, and refers to the action of copying an existing application or set of code and modifying it to create an alternate version. At the blockchain protocol level, a 'fork' creates an alternative version of a blockchain. Forks are often enacted intentionally to apply upgrades to a network. Soft Forks render two chains with some compatibility, while Hard Forks create a new version of the chain that must be adopted to continue participation. In the instance of a contentious Hard Fork, this can create two versions of a blockchain network. See also 'hard fork'.",,
fractional ownership,noun,decentralized web,/frækˈʃənl ˈoʊnərˌʃɪp/,"In the context of NFT ownership: A fractional NFT (F-NFT) is an entire NFT broken into smaller fragments, allowing several people to claim ownership of a piece of the same NFT. Fractional NFTs ",,
fraud proof,noun,decentralized web,/frɔd pruːf/,"A security model for certain layer 2 solutions where, to increase speed, transactions are rolled up into batches and submitted to Ethereum in a single transaction. They are assumed valid but can be challenged if fraud is suspected. A fraud proof will then run the transaction to see if fraud took place. This method increases the amount of transactions possible while maintaining security.",,
full node,noun,decentralized web,/fʊl noʊd/,"Public blockchains consist of a network of computers which sync the network's data, coordinate transaction requests, and participate in consensus regarding the validity of those transactions; each one of these computers is called a 'node'. A full node is a computer that can fully validate transactions and download the entire data of a specific blockchain. In contrast, a “lightweight” or “light” node does not download all pieces of a blockchain’s data, and uses a different validation process.",,
gas,noun,decentralized web,/ɡæs/,"A measure of the computational steps required for a transaction on the Ethereum network. This then equates to a fee for network users paid in small units of ETH specified as gwei. For more on gas, see MetaMask’s user guide here: User Guide: Gas",,
gas fee,noun,decentralized web,/ɡæs fiː/,"Gas fee refers to the transaction fee on the blockchain. It is what users pay to get their transaction validated, or completed.",,
gas limit,noun,decentralized web,/ɡæs ˈlɪmɪt/,The gas limit is the maximum amount you’re willing to pay for any given transaction to go through the Ethereum network. Another way of looking at it is as a “rough estimate” of how much computing power your transaction will take.,,
gas price,noun,decentralized web,/ɡæs praɪs/,"The gas price is what it sounds like: the cost the network is paid for the computational work being performed in a given transaction. It is paid in units of ETH called gwei. Depending on network congestion, the gas price may vary significantly.",,
genesis block,noun,decentralized web,/ˈdʒɛnɪsɪs blɒk/,The initial block of data computed in the history of a blockchain network.,,
gigawei,noun,decentralized web,/ˈdʒɪɡəˌweɪ/,"Gwei is a unit of ether, the smallest denomination, which stands for gigawei (or 1,000,000,000). Gwei is used for gas fees, or rather payments made by users to compensate for the computing energy required to process and validate transactions on the Ethereum blockchain.",,
governance,noun,decentralized web,/ˈɡʌvərnəns/,"In the world of cryptocurrencies, governance is defined as the people or organizations that have decision-making powers regarding the project. Governance is an essential aspect of all cryptocurrency projects. As decentralized blockchains, cryptocurrencies often have a very liberal governance structure. There are a number of different approaches to governance. Governance ",,
gwei,noun,decentralized web,/ɡwiː/,"A minuscule and common denomination of ETH, and the unit in which gas prices are often specified. See 'ether (denominations)' entry for more information.",,
gwei,noun,decentralized web,/ɡwiː/,,,
halving,verb,decentralized web,/ˈhælvɪŋ/,"Many cryptocurrencies have a finite supply, which makes them a scarce digital commodity. For example, the total amount of bitcoin that will ever be issued is 21 million. The number of bitcoins generated per block is decreased 50% every four years. This is called “halving.” The final halving will take place in the year 2140.",,
hard fork,noun,decentralized web,/hɑrd fɔrk/,"A hard fork occurs when there is a change in the blockchain that is not backward compatible (not compatible with older versions), thus requiring all participants to upgrade to the new version in order to be able to continue participating on the network. See also 'fork'.",,
hardware wallet,noun,decentralized web,/ˈhɑrdwɛər ˈwɔlɪt/,"A hardware wallet is a physical device that is used to store cryptographic keys, and generally, sign transactions. Some hardware wallets can be connected physically or through software to internet connectivity; others are ‘air-gapped’, receiving transaction requests and sending transaction approvals through a mechanism such as a QR code. The overall goal of using a hardware wallet to manage keys and signatures is to reduce the likelihood of your keys or Secret Recovery Phrase from being somehow stolen or compromised, due to being connected to the Internet. For more on hardware wallets, see MetaMask’s Hardware Wallet Hub: Hardware Wallet Hub",,
hash,noun,decentralized web,/hæʃ/,"In computing, ‘hashing’ is an operation performed on lists or sets of data to create a reliable index for that data. A particular datum, or a reference to it, is fed into an algorithm, which transforms the datum and returns a standardized, and generally unrecognizable, ‘hash’ of it, sometimes referred to as that datum or file’s “digital fingerprint.” Each block in a blockchain contains the hash value that validated the block before it, followed by its own hash value (this is how the continuity of the ‘chain’ is constructed). Hashes can be used to confirm that blockchain transactions are complete and valid. You may see references to the “transaction hash” or “tx hash”; this should be understood as “unique identifier of the transaction”.",,
HD wallet,noun,decentralized web,/ˌhaɪəˈrɑrkɪkəl dɪˈtɜrmɪnɪstɪk ˈwɔlɪt/,"Initialism; Hierarchical Deterministic wallets were first created for Bitcoin, and enable the creation of a very large number of accounts based on an initial seed phrase. This technology was later adopted in Ethereum wallets; when restoring a MetaMask wallet from the Secret Recovery Phrase, for example, if you 'create' accounts, they will be the same accounts as previously created from that same phrase; they are derived from it.",,
hot storage,noun,decentralized web,/hɒt ˈstɔrɪdʒ/,Synonymous with 'hot wallet'.,,
hot wallet,noun,decentralized web,/hɒt ˈwɔlɪt/,"A wallet that is directly connected to the internet at all times; for example, one that is held on a centralized exchange. Hot wallets are considered to have lower security than cold storage systems or hardware wallets.",,
hybrid network,noun,decentralized web,/ˈhaɪbrɪd ˈnɛtwɜrk/,Hybrid blockchain. See 'PoS/PoW Hybrid',,
Hyperledger,noun,decentralized web,/ˈhaɪpərˌlɛdʒər/,"Hyperledger is an ecosystem of open-system tools, libraries, and products designed to enable and support enterprise-grade blockchain technology. In general, the products focus on creating solutions for permissioned blockchains--that is, non-public blockchains, with alternative consensus mechanisms other than Proof of Work (PoW) or Proof of Stake (PoS). That said, there are use cases where such institutions would want to integrate with public blockchains, and for that reason Hyperledger Besu and Hyperledger Burrow are actively developed projects, the former being a Java-based Ethereum client, the latter being a smart contract platform which supports EVM bytecode.",,
ICO,noun,decentralized web,/ˈaɪkoʊ/,"An Initial Coin Offering (also called ICO) occurs when a new token project sells advance tokens in exchange for upfront capital. These have been a vehicle for fraud and scams, and as such are subject to ever-evolving regulation and legislation.",,
ID,noun,decentralized web,/ˈaɪˈdiː/,,,
identicon,noun,decentralized web,/aɪˈdɛntɪkɒn/; /ˈædrɛs aɪˈdɛntɪkɒn/; /ˈædrɛs ˈaɪkɒn/,"The colorful blob of colors that corresponds to your address in MetaMask. It is an easy way to see if your address is correct. More specifically, you can choose between jazzicons (created by the MetaMask team!) or blockies.",,
immutability,noun,decentralized web,/ɪˈmjuːtəbɪlɪti/,"The inability to be altered or changed. This is a key element of blockchain networks: once written onto a blockchain ledger, data cannot be altered. This immutability provides the basis for commerce and trade to take place on blockchain networks.",,
internal transaction,noun,decentralized web,/ˈɪntərnəl ˌtrænˈzækʃən/,"An internal transaction on the Ethereum network is one that occurs between smart contracts, rather than between addresses. Notably, they are not included on the blockchain, and therefore do not incur gas fees, but they are often crucial to carrying out the action in question, and can be viewed on Etherscan. For more detail, see MetaMask's article on the topic: Internal Transactions ",,
interoperability,noun,decentralized web,/ˌɪntərɒpəˈræbɪlɪti/,"Blockchain interoperability, or cross-chain interoperability, is the ability to see and share information across multiple blockchains. One of the clear benefits of blockchain interoperability is being able to trade assets across various blockchains without the need for a centralized, custodial exchange. Interoperability ",,
Kovan,noun,decentralized web,/ˈkoʊvən/,"An Ethereum testnet that uses Proof of Authority consensus, available through MetaMask; Kovan test network has been deprecated. Ethereum used to have four testnets: Ropsten, Rinkeby, Goerli, and Kovan (Kiln was also added for specific purposes relating to the Merge in 2022). However, after the Merge occurred on September 15th 2022, most of the existing testnets began being deprecated (taken out of service). They may still work, but could be unreliable. Sepolia and Goerli are now the only two available.",,
Layer 0,noun,decentralized web,/ˈleɪər ˈzɪroʊ/,"Layer 0 in blockchain refers to the underlying infrastructure that supports the blockchain network. It includes the physical hardware, such as computers, servers, and other network components, as well as the software protocols that govern the interactions between the nodes in the network. In other words, Layer 0 is the foundation upon which the blockchain network is built. It provides the necessary resources and technical capabilities for the network to function, such as computing power, storage, and network connectivity. Layer 0 is essential to the operation and security of the blockchain network, as it ensures that data is transmitted and stored correctly and securely across the network. Layer 0 is sometimes also referred to as 'Layer Zero' or 'L0'. It is important to note that the concept of Layer 0 is not unique to blockchain technology, but is a more general term used to describe the physical and technical infrastructure underlying any type of computer network.",,
Layer 1,noun,decentralized web,/ˈleɪər ˈwʌn/,"Layer 1 in blockchain refers to the base layer of the blockchain protocol. It is the layer that contains the core elements of the blockchain, including the consensus mechanism, the data structure, and the rules that govern the creation and transfer of assets or tokens. In other words, Layer 1 is the foundation of the blockchain technology stack, upon which all other layers and applications are built. It is responsible for maintaining the integrity of the blockchain network and ensuring that all transactions are valid and secure. Layer 1 is designed to be decentralized, meaning that no single entity has control over the network. This is achieved through the use of consensus mechanisms, such as Proof of Work (PoW), Proof of Stake (PoS), or other methods, which enable participants to reach agreement on the validity of transactions and the state of the network. Some examples of Layer 1 blockchain protocols include Bitcoin, Ethereum, Binance Smart Chain, Avalanche.",,
Layer 2,noun,decentralized web,/ˈleɪər ˈtuː/,"A Layer 2 network, or L2, is a blockchain that is built specifically to scale another network. For a full understanding of how this is achieved, see here. Some popular examples of this in the Ethereum ecosystem are Arbitrum, Optimism, and StarkNet. These chains are specifically built to handle a large number of transactions quickly by relying on Ethereum Mainnet for security functions, while optimizing for speed and scale. These networks are considered 'scaling solutions' while not being part of Ethereum's protocol-level scaling efforts. See also 'blockchain trilemma', 'modular blockchain', 'Serenity'. Contrast with 'sidechain'.",,
Liquid Democracy (Delegative Democracy),noun,decentralized web,/ˈlɪkwɪd dɪˈmɒkrəsi/ (/ˈdɛlɪɡətɪv dɪˈmɒkrəsi/),"A government system where votes can be delegated or proxied to other individuals such as friends, politicians, or subject matter experts. For example, in a liquid democracy, Bernadette could give Ahmad her vote and Ahmad would then vote for both himself and Bernadette. Liquid democracy is used at times as a governance mechanism for Decentralized Autonomous Organizations (DAOs) wherein every participant is able to vote or delegate their vote to another individual.",,
liquidity pool,noun,decentralized web,/lɪˈkwɪdɪti puːl/,"A liquidity pool is a crowdsourced pool of cryptocurrencies or tokens locked in a smart contract that is used to facilitate trades between the assets on a decentralized exchange (DEX). Instead of traditional markets of buyers and sellers, many decentralized finance (DeFi) platforms use automated market makers (AMMs), which allow digital assets to be traded in an automatic and permissionless manner through the use of liquidity pools.",,
liquidity staking,noun,decentralized web,/lɪˈkwɪdɪti ˈsteɪkɪŋ/,"Liquid staking allows users to stake tokens and simultaneously use them in the DeFi ecosystem. This is made possible by wrapping the staked tokens and providing users with a wrapped token that is a claim on the underlying collateral. The wrapped tokens can be transferred and generate yield. Liquid staking permits users to stake and unstake their coins without being beholden to a lock-up period. It thus enables greater capital efficiency and increased liquidity on proof-of-stake blockchains, allowing users to maximize the benefits of staking and DeFi simultaneously. Furthermore, liquid staking enhances network security on PoS chains.",,
mainnet,noun,decentralized web,/ˈmeɪnˌnɛt/,"The primary network where actual transactions take place on a specific distributed ledger. For example, The Ethereum Mainnet (capitalized in this case) is the public blockchain where network validation and transactions take place",,
maximum priority fee,noun,decentralized web,/ˈmæksɪməm praɪˈɒrɪti fiː/,"The fee, or 'miner tip', goes to the validator or miner, and incentivizes them to prioritize your transaction.",,
mempool,noun,decentralized web,/ˈmɛmpuːl/,"abbreviation; Memory Pool. Also commonly referred to as a 'transaction pool'. When a user submits a transaction to the Ethereum network–or many other networks based on Ethereum–the transaction goes into what’s known as a “transaction pool”, or “txpool” for short. This is essentially a queue of transactions that are waiting to be added to a block and recorded to the blockchain. There are mechanisms that determine which transactions are “picked up” and included in the next block, and there is currently a lot of research surrounding how this decision gets made. In Bitcoin, the transaction pool was referred to as the “memory pool”, or “mempool”, and often these terms are used interchangeably.",,
Merge,noun,decentralized web,/mɜrdʒ/,"Finalized in September 2022, the Merge was the culmination of years of work involved in transitioning Ethereum from a Proof of Work consensus model, to Proof of Stake, all while keeping the network live. This was successful, and reduced the network’s carbon footprint by more than 99.9%.",,
Merkle Patricia trie,noun,decentralized web,/ˈmɜrkl pəˈtrɪʃə traɪ/,"Often referred to simply as a 'Merkle trie' (pronounced 'tree'), a Merkle Patricia trie is a data structure in which a single hash code function (see 'hash') splits into smaller branches. In a similar way to a family tree, where a parent branch splits into child branches, which are then extrapolated into grandchild branches, a Merkle Patricia trie keeps a record of the filiation and history of each element. This type of data structure enables for faster verification on a blockchain network.",,
MEV,noun,decentralized web,"/ˈmæksɪməl ɪkˈstræktəbl ˈvæljuː/, /ˈɛm iː ˈviː/","Acronym; originally known as Miner Extractable Value, MEV is a broad complex topic that refers to the inclusion, exclusion, and reordering of transactions within a block in order to extract more value from it, generally in excess of what a validator (or miner, on PoW networks) would earn from producing the block. MEV includes activities such as frontrunning, arbitrage, and what could be considered malicious actions to profit off of other users' transactions. This is a very active topic of research that is changing rapidly.",,
miner,noun,decentralized web,/ˈmaɪnər/,,,
miner tip,noun,decentralized web,/ˈmaɪnər tɪp/,"The miner tip is the Maximum Priority Fee that incentivizes the miner to prioritize a transaction. Learn the basics of blockchains and Ethereum (miners and validators, gas, cryptocurrencies and NFTs, block explorer, networks, etc.) ",,
mining,noun,decentralized web,/ˈmaɪnɪŋ/,"The process by which blocks or transactions are verified and added to a blockchain using a Proof of Work (PoW) consensus mechanism. In order to verify a block, a miner must use a computer to solve a cryptographic problem. Once the computer has solved the problem, the block is considered “mined” or verified. On Bitcoin or other PoW blockchains, the first computer to mine or verify the block receives bitcoin, or the equivalent network token, as a reward.",,
mint,noun,decentralized web,/mɪnt/,Minting refers to the act of publishing a token on the blockchain to make it transferrable and purchasable.,,
mnemonic phrase,noun,decentralized web,/nɪˈmɒnɪk freɪz/,"This is an alternative way of referring to a Secret Recovery Phrase, also known as a 'seed phrase': a series of words that correspond to a very long cryptographic key, used to generate and control all the addresses of a crypto wallet.",,
modular blockchain,noun,decentralized web,/ˈmɒdjʊlər ˈblɒkˌtʃeɪn/,"Bitcoin is an example of a monolithic blockchain: all of the functions of the network (consensus, execution, data availability, and settlement) are run on one chain. This has significant drawbacks (see 'blockchain trilemma' for more). A modular blockchain, on the other hand, separates some or all of these functions into separate chains, each one optimized for its specific function, and relying on the other chains for the other functions. Ethereum is currently moving towards modularization, both on a protocol level beginning with the Merge, which split consensus and execution into two chains, and at the level of 'Layer 2' networks which provide optimized execution environments, and then 'roll up' their data to Ethereum for its consensus functionality.",,
multi-sig,noun,decentralized web,/ˈmʌltiˌsɪɡ/,"multi-signature wallet (multisig): A crypto-asset wallet which requires multiple keys in order to access and transact. Typically, a specified number of individuals are required to approve or “sign” a transaction before they are able to access the wallet. This is different from most wallets, which only require one signature to approve a transaction.",,
multi-signature wallet (multisig),noun,decentralized web,/ˈmʌltiˈsɪgnətʃər ˈwɔlɪt/ (/ˈmʌltɪsɪɡ/),"A crypto-asset wallet which requires multiple keys in order to access and transact. Typically, a specified number of individuals are required to approve or “sign” a transaction before they are able to access the wallet. This is different from most wallets, which only require one signature to approve a transaction.",,
nested blockchain,noun,decentralized web,/ˈnɛstɪd ˈblɒkˌtʃeɪn/,"A nested blockchain is essentially a blockchain within — or, rather, atop — another blockchain. See 'Layer 2'",,
network,noun,decentralized web,/ˈnɛtwɜrk/,A network refers to all nodes in the operation of a blockchain at any given moment in time.,,
network congestion,noun,decentralized web,/ˈnɛtwɜrk kənˈdʒɛstʃən/,"The reduced quality of service that occurs when a network node or link is carrying more data than it can handle. Typical effects include queueing delay, packet loss or the blocking of new connections. Congestion ",,
NFT,noun,decentralized web,/ɛn ɛf ˈtiː/,"When discussing Non-Fungible Tokens (NFTs), “fungibility” refers to an object’s ability to be exchanged for another. For example, an individual dollar is considered fungible, as one dollar is fully interchangeable with another. Artwork is usually deemed non-fungible, as paintings or sculptures are likely to be unequal between them in quality, value, or other attributes. A non-fungible token is a type of token that is a unique digital asset and has no equal token. This is in contrast to cryptocurrencies like ether that are fungible in nature.",,
NFT aggregator,noun,decentralized web,/ɛn ɛf ˈtiː ˌæɡrɪˈɡeɪtər/,"In the initial wave of interest in buying and selling NFTs, a number of NFT marketplaces--websites where you can buy and sell NFTs--were created. As the market matured, aggregators appeared, which offer the user the ability to view available stock and price, buy and sell across marketplaces from a single unified application. Similar to familiar web2 shopping portals, these have come to be known as NFT Marketplace Aggregators, or just NFT Aggregators.",,
NFT drop,noun,decentralized web,/ɛn ɛf ˈtiː drɒp/,"An NFT drop happens when a new NFT collection is released. NFT drops can vary in both how the NFTs are sold (listed for sale or auction), and in who they’re released to (the public, or a specific list called an “allowlist”).. , NFT drops coincide with when the NFTs in the collection are minted, that is, written to the blockchain. You might hear these terms used interchangeably— a drop might be referred to as the project’s mint.",,
node,noun,decentralized web,/noʊd/,"Public blockchains consist of a network of computers which sync the network's data, coordinate transaction requests, and participate in consensus regarding the validity of those transactions; each one of these computers is called a 'node'. A full node is a computer that can fully validate transactions and download the entire data of a specific blockchain. In contrast, a “lightweight” or “light” node does not download all pieces of a blockchain’s data, and uses a different validation process.",,
non-fungible token,noun,decentralized web,/ˌnɒnˈfʌndʒəbl ˈtoʊkən/,See NFT,,
nonce,noun,decentralized web,/nɒns/,"The word ‘nonce’ has a few different meanings, and in different contexts, it ends up getting used a lot of different ways. Originally formed from a contraction of a phrase meaning “not more than once”, on the Ethereum Mainnet, “nonce” refers to a unique transaction identification number that increases in value with each successive transaction in order to ensure various safety features (such as preventing a double-spend). Note that due to its broader use in cryptography, you may encounter ‘nonce’ being used differently on other sidechains or decentralized projects.",,
off-chain,adjective,decentralized web,/ˌɒfˈtʃeɪn/,"A transaction that is processed outside the blockchain network with an increased speed and reduced cost. There are two different transactions that occur on the blockchain: On-chain transactions are those reflected on the distributed ledger and are visible to all the network users. On the other hand, off-chain transactions occur outside the blockchain network. Such a transaction doesn’t need the services of miners because no ledger verification is conducted. Unlike on-chain transactions, off-chain transactions can be made instantly. This method entails lower fees, happens instantly, and offers more anonymity. ",,
ommer block,noun,decentralized web,/ˈɒmər blɒk/,"Under the Proof of Work (PoW) consensus mechanism, miners received rewards for being the first to mine a new block. However, at times a block would be mined just after, and in competition with, the last block. This block, known as an ommer and previously as an uncle, could get rolled into subsequent blocks and the miner of the original ommer would get a partial block reward. All of this functionality was deprecated as of the launch of the Beacon Chain.",,
on-chain,adjective,decentralized web,/ˌɒnˈtʃeɪn/,"On-chain, as the name implies, refers to blockchain transactions that exist on and have been verified to the blockchain by miners or validators. On-Chain also means that transactions have been recorded to the blockchain",,
on-ramp,noun,decentralized web,"/ˈɒnˌræmp/, /ˈɒfˌræmp/","Based on a metaphor from the American highway system, 'on-ramp' refers to a tool, or a service provider, or the action, of converting fiat currency into tokens on a blockchain. Conversely, 'off-ramp' refers to exchanging on-chain assets for their value in a given fiat currency. There are many providers of such services, and MetaMask users have access to them through the 'Buy Crypto' feature.",,
optimistic rollup,noun,decentralized web,/ɒpˈtɪmɪstɪk ˈrəʊlʌp/,"A rollup that assumes the validity and good faith of transactions, and only runs a fraud proof in the case of fraud being alleged. See also 'rollup'.",,
passphrase,noun,decentralized web,/ˈpæsˌfreɪz/,See 'Secret Recovery Phrase',,
permission,noun,decentralized web,/pərˈmɪʃən/,,,
permissioned ledger,noun,decentralized web,/pərˈmɪʃənd ˈlɛdʒər/,"A blockchain network in which access to ledger or network requires permission from an individual or group of individuals, as opposed to a public blockchain. Permissioned ledgers may have one or many owners. Consensus on a permissioned ledger is conducted by the trusted actors, such as government departments, banks, or other known entities. Permissioned blockchains or ledgers contain highly-verifiable data sets because the consensus process creates a digital signature, which can be seen by all parties. A permissioned ledger is much easier to maintain and considerably faster than a public blockchain. For example, Quorum or Hyperledger Besu are permissioned ledgers that can be more easily set up for large enterprises. In contrast, the public Ethereum blockchain is a permissionless ledger which anyone can access.",,
PKI,noun,decentralized web,/ˈpʌblɪk kiː ˌɪnfrəˈstrʌktʃər/,"Initialism; a public key infrastructure (PKI) is a collection of roles, rules, hardware, software, and processes for creating, managing, distributing, using, storing, and revoking digital certificates. Public-Key Infrastructure ",,
PoA,noun,decentralized web,"/ˈpruːf əv ɔˈθɒrɪti/, /ˌpiː oʊ ˈeɪ/","Initialism; Proof of Authority. A consensus mechanism used in private blockchains, granting a single private key the authority to generate all of the blocks or validate transactions.",,
PoA-PoS-PoW,noun,decentralized web,"/ˌpiː oʊ ˈeɪ/, /ˌpiː oʊ ˈɛs/, /ˌpiː oʊ ˈdʌbəljuː/","Acronyms standing for Proof of X consensus mechanisms: Authority, Stake, Work. The “o” is lowercase since you wouldn’t capitalize “of” when writing out the phrase. See also 'consensus', 'Proof of Authority', 'Proof of Stake', 'Proof of Work'.",,
PoS,noun,decentralized web,"/ˈpruːf əv steɪk/, /ˌpiː oʊ ˈɛs/","Initialism; Proof of Stake. A consensus mechanism in which an individual node, or “validator”, validates transactions or blocks. Validators lock up a certain amount of cryptocurrency, such as ether, into a ‘stake’, in order to be able to participate in consensus. If the node validates a block (group of transactions) correctly, then the validator receives a reward. Conversely, if the validator behaves poorly by validating incorrect transactions or by not maintaining sufficient network connectivity, the cryptocurrency they staked can be ‘slashed’, or taken from them and put out of circulation (‘burned’). PoS requires a negligible amount of computing power compared to Proof of Work consensus.",,
PoS/PoW Hybrid,noun,decentralized web,/ˌpiː oʊ ˈɛs/ /ˌpiː oʊ ˈdʌbəljuː/ ˈhaɪbrɪd/,"A hybrid consensus model that utilizes a combination of Proof of Stake (PoS) and Proof of Work (PoW) consensus. Using this Hybrid consensus mechanism, blocks are validated from not only miners, but also voters (stakeholders) to form a balanced network governance.",,
PoW,noun,decentralized web,"/ˈpruːf əv wɜrk/, /ˌpiː oʊ ˈdʌbəljuː/","Initialism; Proof of Work.A consensus mechanism in which each block is ‘mined’ by one of the nodes, or a group of nodes, on the network. The computational process involved in committing a series of transactions into a block on the network, known as ‘hashing a block’, is technically quite simple, and therefore subject to attack. Under PoW, each miner must solve a math problem to find a set, difficult variable in order to be able to propose their block to the network as the next to be ‘mined’. In effect, the process of hashing each block becomes a competition. This addition of solving for a target increases the difficulty of successfully hashing each block, and consequently the security of the network. For each hashed block, the overall process of hashing will have taken some time and computational effort. Thus, a hashed block is considered Proof of Work, and the miner that successfully hashes the block first receives a reward, in the form of cryptocurrency. PoW is singificantly more energy-intensive than other consensus mechanisms, such as Proof of Stake.",,
priority fee,noun,decentralized web,/ˈpraɪərɪti fiː/,"The priority fee, also referred to as the 'miner tip', incentivizes the miner to prioritize your transaction. Naturally, whether this does actually go to a miner depends on the consensus mechanism they use: Ethereum mainnet became a Proof of Stake network following the Merge in September 2022, so the priority fee goes to validators instead of miners.",,
private blockchain,noun,decentralized web,/ˈpraɪvɪt ˈblɒkˌtʃeɪn/,A blockchain or distributed ledger that has a closed network wherein participants are controlled by a single entity. A private blockchain requires a verification process for new participants. A private blockchain may also limit which individuals are able to participate in consensus of the blockchain network. See also 'permissioned ledger'.,,
private currency,noun,decentralized web,/ˈpraɪvɪt ˈkʌrənsi/,"A currency or token issued by a private individual or firm. Typically, the token or currency is limited to use within the network of that particular firm or individual. This is not to be confused with a “privacy cryptocurrency”, which are cryptocurrencies with specific privacy features, such as hidden user identities.",,
private key,noun,decentralized web,/ˈpraɪvɪt kiː/,"A private key is an alphanumeric string of data that, in MetaMask, corresponds to a single specific account in a wallet. Private keys can be thought of as a password that enables an individual to control a specific crypto account. Never reveal your private key to anyone, as whoever controls the private key controls the account funds. If you lose your private key, then you lose access to, and control over, that account.",,
protocol,noun,decentralized web,/ˈproʊtəkɒl/,"Formally speaking, a 'protocol' is a set of rules governing how a process is carried out. This concept is used throughout public blockchain networks and web3 to refer to the way smart contracts execute their functionality in the same way regardless of the user. The products or services built on top of smart contracts are often referred to as 'protocols' by extension.",,
public address,noun,decentralized web,/ˈpʌblɪk ˈædrɛs/,"An Ethereum public address, also known as an Ethereum account address, is a string of 42 characters (including letters and numbers) that is used to receive or send Ethereum and other Ethereum-based tokens on the Ethereum network. Each Ethereum public address is unique and is associated with a private key that allows the owner of the address to sign and authorize transactions. The public address is derived from the private key using a mathematical algorithm, and it can be shared with others to receive payments or tokens. When sending Ethereum or tokens, users need to specify the recipient's public address as the destination for the transaction. Once the transaction is confirmed by the network, the Ethereum or tokens are transferred to the recipient's address.",,
public blockchain,noun,decentralized web,/ˈpʌblɪk ˈblɒkˌtʃeɪn/,"A globally open network wherein anyone can participate in transactions, participate in the consensus protocol to help determine which blocks get added to the chain, maintain and examine the contents of the chain.",,
public key,noun,decentralized web,/ˈpʌblɪk kiː/,"Public blockchain networks are just that: public. Their data is accessible and readable by anyone. In order to have any degree of usability when it comes to allowing users to do some things, like send transactions, but not others, like steal other peoples’ tokens, cryptographic technology is used. In particular, a design paradigm known as ‘public/private key pairs’ is employed to ensure users can interact with others on the network as they wish, while keeping their own account secure. These key pairs consist of two long strings of alphanumeric characters. A public key can be derived mathematically from its corresponding private key, but the inverse is not true: it is mathematically impossible to derive a private key from its corresponding public key. This allows, for example, users to have a public wallet address that anyone can use to send them tokens, with the peace of mind that as long as they properly keep the corresponding private key safe, those tokens cannot be stolen. See also ‘private key’.",,
public key cryptography,noun,decentralized web,/ˈpʌblɪk kiː ˌkrɪptəˈɡræfi/,"See 'public key',see 'Cryptography', see 'blockchain'. Public-Key Cryptography ",,
relayer,noun,decentralized web,/ˈriːleɪər/,"A relayer is an intermediary that facilitates the exchange or transfer of information, assets, or services between two or more parties. The term is used in various fields, including finance, communication, and technology. In the context of cryptocurrencies and blockchain technology, a relayer typically refers to an intermediary that facilitates peer-to-peer transactions on a decentralized network. This can include decentralized exchanges (DEXs), where relayers act as matching engines to connect buyers and sellers of digital assets. A few examples of popular relayers include 0x: 0x is a decentralized exchange protocol that enables the creation of relayers on the Ethereum blockchain. These relayers can be built by anyone and allow for peer-to-peer trading of ERC-20 tokens. Kyber Network: Kyber Network is a decentralized liquidity network that also operates as a relayer. It enables users to trade a wide range of digital assets, including ERC-20 tokens, without the need for a centralized intermediary. Uniswap: Uniswap is a popular decentralized exchange that operates as a relayer. It uses an automated market maker (AMM) system to enable peer-to-peer trading of ERC-20 tokens. AirSwap: AirSwap is a decentralized exchange that operates as a peer-to-peer relayer on the Ethereum blockchain. It uses an off-chain order book to match buyers and sellers and execute trades.",,
rollups,noun,decentralized web,/ˈrɒlʌps/,"Rollups (pronounced 'roll ups') are one element in the set of tools and infrastructure being built as scaling solutions for the Ethereum network. They consist, in general, of networks which prioritize their ability to compute transactions and smart contract functionality, and then 'roll up' those transactions to Ethereum Mainnet for secure verification of their validity. There are different ways of approaching this problem from a technical point of view, namely Zero Knowledge, or ZK, rollups, and Optimistic rollups. Arbitrum and Optimism are prominent examples. See the entries on both of these types of rollup for more, and more in-depth discussion here.",,
rug pull,verb,decentralized web,/rʌɡ pʊl/,"Similar to the traditional financial scam of a pyramid scheme, a 'rug pull' is a cryptocurrency or crypto-token based scam in which the creators of the token create hype, through injecting liquidity into their token, airdropping, and other schemes, and once investors pile in and boost the price of the token up to a certain point, the creators liquidate their (generally majority) share of the tokens, leaving their investors with next to nothing.",,
Satoshi Nakamoto,person,decentralized web,/ˈsətoʊʃi nəˈkoʊtoʊmi/,"A pseudonymous individual or entity who created the Bitcoin protocol, solving the digital currency issue of the “double spend.” Nakamoto first published their white paper describing the project in 2008, and the first Bitcoin software was released one year later.",,
scalability,noun,decentralized web,/ˈskæləˌbɪlɪti/,"A change in size or scale to handle a network’s demands. This word is used to refer to a blockchain project’s ability to handle network traffic, future growth, and capacity in its intended application.",,
scaling,noun,decentralized web,/ˈskeɪlɪŋ/,"The main goal of scalability is to increase transaction speed (faster finality), and transaction throughput (high transactions per second), without sacrificing decentralization or security.",,
