Term [en-US],Term [ar-001],Term [zh-CN],Term [zh-TW],Term [nl-NL],Term [fr-FR],Term [de-DE],Term [el-GR],Term [ha-NG],Term [hi-IN],Term [hu-HU],Term [id-ID],Term [it-IT],Term [ja-JP],Term [ko-KR],Term [fa-AF],Term [ms-MY],Term [pcm-NG],Term [pl-PL],Term [pt-BR],Term [ro-RO],Term [ru-RU],Term [es-419],Term [tl-PH],Term [th-TH],Term [tr-TR],Term [uk-UA],Term [vi-VN],Term [en-GB]
Delegated proof of stake (DPoS),DPoS,权益授权证明（DPoS）,DPoS,DPoS (delegated proof-of-stake),DPoS,DPoS,DPoS,Tabbatarwa ta Hanyar Mallaka wanda aka wakilta,डेलिगेटेड प्रूफ ऑफ़ स्टेक (DPoS),DPoS,Bukti staking terdelgasi (DPoS),Delegated proof of stake (DPoS),デリゲート・プルーフ・オブ・ステーク (DPoS),DPoS,الگوریتم گواه اثبات سهام نیابتی(DPoS),Bukti pegangan yang terdelegasi (DPoS),How dem dey protect blockchain by you holding crypto wey dem delegate,DPoS,Prova de participação delegada (DPoS),Proof of stake delegat (DPoS),DPoS,DPoS,Delegated proof of stake (DPoS),DPoS,DPoS,DPoS,Bằng chứng cổ phần được ủy quyền (DPoS),Delegated proof of stake (DPoS)
denominations,فئات,面额,以太幣,denominaties,dénominations,Denominationen,ονομασίες,raka'a kudi,डीनॉमिनेशन्स,valutaegységek,denominasi,denominazioni,通貨単位,단위,اتر,denominasi,moni unit,nominały,denominações,denominări,номиналы,denominaciones,mga denominasyon,อีเทอร์,değerler,номінали,mệnh giá,denominations
deposit,الإيداع,保证金,入金,storten,conservation,Einzahlung,κατάθεση,ajiya,डिपॉज़िट,letét,deposit,deposito,デポジット,예치,واریز,deposit,put money for something,Depozyt,depositar,depozit,депозит,depósito,deposito,ฝาก,para yatırma,депозит,gửi tiền,deposit
derive,يشتق,衍生品,金融衍生品,afleiden,dériver,Ableiten,παραγωγή,samo,डीराइव,származás/származtatás,berasal / turunan,derivazione,導き出す / 導出,파생,مشتق شدن,terbit,comot from inside,uzyskiwanie,derivação,a deriva/derivare,сделать вывод / вывод/извлекать/выводить/производное от,derivar,nagmula / pinagmulan,ได้มาจาก,türev,вивести,phái sinh,derive
dev,مُطورّ,开发者,開發者,ontwikkelaar,dev.,Entwickler,προγραμματιστής,mai ƙirƙira,डेव,dev,dev,dev,Dev,개발자,توسعه دهنده,dev,person wey dey build di software,Dev,dev,dev,разраб,desarrollador,dev,นักพัฒนา,geliştirici,розробник,nhà lập trình,dev
Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Конференция разработчиков,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon,Devcon
developer,مُطوّر,开发者,開發者,ontwikkelaar,développeur,Entwickler,προγραμματιστής,mai ƙirƙira,डेवलपर,fejlesztő,pengembang,sviluppatore,開発者,개발자,توسعه دهنده,pembangun,person wey dey build di software,twórca oprogramowania,desenvolvedor,programator,разработчик,desarrollador,developer,นักพัฒนา,geliştirici,розробник,nhà lập trình,developer
DEX,بورصة لامركزية (DEX),去中心化交易所,去中心化交易所,DEX,Échange décentralisé,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX,DEX
difficulty,صعوبة التعدين,难度,難度值,difficulty/moeilijkheid,difficulté,Schwierigkeit,δυσκολία,wahala,डिफीकल्टी,nehézség,kesulitan,difficoltà,ディフィカルティー (採掘難易度),난이도,سختی,kesukaran,how hard e be to mine new coins,Trudność,dificuldade,dificultate,сложность,dificultad,kahirapan,ความยากในการขุด,zorluk,складність,độ khó,difficulty
difficulty bomb,انفجار الصعوبة,难度炸弹,難度炸彈,difficulty bomb,bombe de difficulté,Schwierigkeitsbombe,βόμβα δυσκολίας,bom ɗin wahala,डिफीकल्टी बॉम्ब,nehézségi bomba,difficulty bomb,difficulty bomb,ディフィカルティボム,난이도 폭탄,بمب سختی,bom kesukaran,something wey dey make mining harder and harder over time,Bomba trudności,bomba de dificuldade,difficulty bomb,бомба сложности,bomba de dificultad,difficulty bomb,ปรับความยากจนขุดไม่ได้,zorluk bombası,бомба складності,bom độ khó,difficulty bomb
digital asset,أصل رقمي,数字资产,數位資產,digitale asset,actif numérique,Digitales Asset,ψηφιακά διαθέσιμα στοιχεία,kadarorin dijital,डिजिटल एसेट,digitális eszköz,aset digital,asset digitale,デジタル資産,디지털 자산,دارایی دیجیتال,aset digital,oga digital property wey you fit buy and sell,Aktywa cyfrowe,ativo digital,activ digital,цифровой актив,activo digital,digital na asset,สินทรัพย์ดิจิทัล,dijital varlık,цифровий актив,tài sản kỹ thuật số,digital asset
digital identity,هوية رقمية,数字身份,數位身分,digitale identiteit,identité numérique,Digitale Identität,ψηφιακή ταυτότητα,shaida ta dijital,डिजिटल आइडेंटिटी,digitális identitás,identitas digital,identità digitale,デジタルアイデンティティ,디지털 신원,هویت دیجیتال,identiti digital,who you be online,Tożsamość cyfrowa,identidade digital,identitate digitală,цифровая личность,identidad digital,digital na pagkakakilanlan,อัตลักษณ์ดิจิทัล,dijital kimlik,цифрова ідентичність,nhận dạng kỹ thuật số,digital identity
digital signature,توقيع رقمي,电子签名,數位簽章,digitale handtekening,signature numérique,Digitale Signatur,ψηφιακή υπογραφή,sanya hannu ta dijital,डिजिटल सिग्नेचर,digitális aláírás,tanda tangan digital,firma digitale,デジタル署名,전자 서명,امضای دیجیتال,tandatangan digital,oga code wey prove say na you sign something,podpis cyfrowy,assinatura digital,semnătură digitală,цифровая подпись,firma digital,digital na lagda,ลายเซ็นดิจิทัล,dijital imza,цифровий підпис,chữ ký số,digital signature
Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence,Diligence
Distributed Ledger Technology,تقنية دفتر الأستاذ الموزع,分布式账本技术,分散式帳本技術,Distributed Ledger Technology,Technologie de registre distribué,Distributed-Ledger-Technologie,Τεχνολογία Κατανεμημένου Καθολικού,Fasaha ta littafi na rarrabawa,डिस्ट्रिब्यूटेड लेजर टेक्नोलॉजी,elosztott főkönyvi technológia,Teknologi Ledger Terdistribusi,Distributed Ledger Technology,分散型台帳技術,분산 원장 기술,فناوری دفترکل توزیع‌شده,Teknologi Lejar Teragih,Technology wey dey use create distributed ledgers,Technologia rozproszonego rejestru,Tecnologia de registro distribuído,Tehnologia registrelor distribuite,Технология распределенных реестров,Tecnología de registro distribuido,Distributed Ledger Technology,เทคโนโลยีการจดบัญชีแบบกระจาย,dağıtılmış hesap defteri Teknolojisi,Технологія розподіленого реєстру,Công nghệ sổ cái phân tán,Distributed Ledger Technology
DLT,DLT,DLT,DLT,DLT,DLT,DLT,DLT,DLT,DLT,DLT,DLT,DLT,DLT,DLT,DLT,DLT,DLT,DLT,DLT,DLT,DLT,DLT,DLT,DLT,DLT,DLT,DLT,DLT
double spend,إنفاق مزدوج,双重支付,雙重支付,double-spending,Double dépense,Doppelte Ausgaben,διπλά έξοδα,biyan kuɗi sau biyu,डबल स्पेंड,dupla költés,penggunaan ganda,doppia spesa,二重支払い,이중 지불,دوبار خرج‌کردن,perbelanjaan berganda,spend moni two times palava,Podwójne wydatkowanie,gasto duplo,cheltuială dublă,двойное расходование,doble gasto,dobleng paggasta,จ่ายซ้ำ,çift harcama,подвійна трата,chi tiêu kép,double spend
ecosystem,النظام البيئي,生态系统,生態圈,ecosysteem,écosystème,Ökosystem,οικοσύστημα,muhalli na dijital,इकोसिस्टम,ökoszisztéma,ekosistem,ecosistema,エコシステム,생태계,اکوسیستم,ekosistem,community wey support each other for crypto,Ekosystem,ecossistema,ecosistem,экосистема,ecosistema,ekosistema,ระบบนิเวศ,ekosistem,екосистема,hệ sinh thái,ecosystem
EEA,تحالف إيثريوم للمؤسسات (EEA),以太坊企业联盟,企業以太坊聯盟,EEA,Ethereum Enterprise Alliance (EEA),EEA,EEA,Ƙungiyar Ethereum na Ƙwararru,EEA,Enterprise Ethereum Alliance (EEA),EEA,EEA,EEA,EEA,EEA,EEA,Enterprise Ethereum Alliance,EEA,EEA,EEA,Альянс разработчиков Ethereum,EEA,EEA,EEA,Kurumsal Ethereum İttifakı,Альянс корпоративного ефіру,EEA,EEA
EIP-1559,EIP-1559,Ethereum 改进提议（EIP）-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559,EIP-1559
encrypted key,مفاتيح مشفرة,加密密钥,加密金鑰,sleutel met encryptie,clé chiffrée,Verschlüsselter Schlüssel,κρυπτογραφημένα κλειδί,makullin da aka ɓoye,एन्क्रिप्टेड की,titkosított kulcs,kunci terenkripsi,chiave crittografata,暗号化鍵,암호화된 키,کلید رمزگذاری شده,kunci terenkripsi,key wey dey hidden,klucz zaszyfrowany,chave criptografada,cheie criptată,зашифрованный ключ,clave cifrada,mga naka-encrypt na key,คีย์เข้ารหัส,şifrelenmiş anahtar,зашифрований ключ,khóa được mã hóa,encrypted key
encryption,التشفير,加密,加密,encryptie/versleuteling,Chiffrement,Verschlüsselung,κρυπτογράφηση,buyar bayanai,एन्क्रिप्शन,titkosítás,enkripsi,Crittografia,暗号化,암호화,رمزگذاری,enkripsi,locking your data so only you fit open am,Szyfrowanie,criptografia,criptare,шифрование,cifrado,pag-encrypt,การเข้ารหัส,şifreleme,шифрування,mã hóa,encryption
ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS,ENS
entropy,إنتروبيا,熵,熵,entropie,entropie,Entropie,εντροπία,rashin tsari,एन्ट्रॉपी,entrópia,entropi,entropia,エントロピー,엔트로피,بی‌نظمی,entropi,scatta scatta wey get security,Entropia,entropia,entropie,энтропия,entropía,entropy,เอนโทรปี,entropi,ентропія,độ hỗn loạn,entropy
epoch,حقبة,时段,時間週期,epoch,époque,Epoche,χρονική σήμανση,lokaci,एपोच (epoch),korszak,epok,epoch,エポック,에폭,دوره زمانی/ایپاک,epoch,one period of time in di blockchain,Epoka,época,epoch,эпоха,época,kapanahunan,อีพอกช์,epoch,епоха,epoch,epoch
ERC,ERC,Ethereum 征求修正意见书（ERC）,ERC,ERC,ERC,ERC,ERC,Shawarar Haɗin Ethereum,ERC,ERC,ERC,ERC,ERC,ERC,ERC,ERC,ERC,ERC,ERC,ERC,ERC,ERC,ERC,ERC,ERC,ERC,ERC,ERC
ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155,ERC-1155
ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20,ERC-20
ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721,ERC-721
ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH,ETH
ether,إيثر,以太币,以太幣,ether,ether,Ether,ether,ether,ether,ether,ether,ether,イーサ,에테르,اتر,ether,native coin of di Ethereum network,ether,ether,ether,эфир (ETH),ether,ether,อีเทอร์,ether,ефір,ether,ether
Ethereum,Ethereum,以太坊,以太坊,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,イーサリアム,이더리움,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum,Ethereum
Ethereum 2.0,Ethereum 2.0,以太坊 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0,Ethereum 2.0
Ethereum Improvement Proposal,مقترحات تحسين الإثيريوم (EIP),以太坊改进提议（EIP）,以太坊改進提案,Ethereum Improvement Proposal,Propositions d’amélioration d’ethereum (EIP),Ethereum Improvement Proposal,Ethereum Improvement Proposal (EIP),Shawarar Inganta Ethereum,एथेरियम इम्प्रूवमेंट प्रपोज़ल,Ethereum javítási javaslat,Proposal Peningkatan Ethereum,Ethereum Improvement Proposal,イーサリアム改善提案,이더리움 개선 제안,پیشنهاد بهبود اتریوم,Cadangan Penambahbaikan Ethereum,Suggestion for changing di Ethereum network,propozycja ulepszenia sieci Ethereum,Proposta de melhoria da Ethereum,Propunere de îmbunătățire Ethereum,Предложение по улучшению Ethereum,Propuesta de mejora de Ethereum,Ethereum Improvement Proposal,ข้อเสนอการปรับปรุง Ethereum,Ethereum Geliştirme Teklifi,Пропозиція щодо вдосконалення Ethereum,Đề xuất cải tiến Ethereum,Ethereum Improvement Proposal
Ethereum Mainnet,شبكة إيثريوم الرئيسية (Mainnet),Ethereum Mainnet,以太坊主網路,Ethereum Mainnet,Réseau principal Ethereum,Ethereum Mainnet,Ethereum Mainnet,Ethereum Mainnet,एथेरियम मेननेट,Ethereum Mainnet,Mainnet Ethereum,Ethereum Mainnet,Ethereum メインネット,Ethereum 메인넷,شبکه اصلی اتریوم,Ethereum Mainnet,Main Ethereum network,Mainnet Ethereum,Mainnet da Ethereum,Mainnet Ethereum,Мейн-нет Ethereum,Red principal de Ethereum,Mainnet ng Ethereum,เครือข่ายหลัก Ethereum,Ethereum Ana Ağı,Основна мережа Ethereum,Ethereum Mainnet,Ethereum Mainnet
Ethereum Name Service,خدمة أسماء الإيثيريوم,以太坊域名服务,以太坊域名服務,Ethereum Name Service,Service de nomination d’Ethereum (ENS),Ethereum-Namensservice,Όνομα Υπηρεσίας του Ethereum,Sabis na Sunan Ethereum,एथेरियम नेम सर्विस,Ethereum névszolgáltatás,Layanan Nama Ethereum,Ethereum Name Service,イーサリアムネームサービス,이더리움 네임 서비스,سرویس نام اتریوم,Perkhidmatan Nama Ethereum,ENS,Usługa nazw Ethereum,Serviço de nomes Ethereum,Ethereum Name Service,Служба имен Ethereum,Servicio de nombres de Ethereum,Ethereum Name Service,เนมเซอร์วิส Ethereum,Ethereum İsimlendirme Hizmeti,Служба імен Ethereum,Dịch vụ đăng ký tên miền trên Ethereum (ENS),Ethereum Name Service
Ethereum Virtual Machine,محرك إيثريوم الافتراضي,Ethereum 虚拟机,以太坊虛擬機,Ethereum Virtual Machine,Machine virtuelle Ethereum,Ethereum Virtual Machine,Εικονική μηχανή Ethereum,Na'urar aiwatarwa na Ethereum,एथेरियम वर्चुअल मशीन,Ethereum virtuális gép,Mesin Virtual Ethereum,Ethereum Virtual Machine,Ethereum 仮想マシン,Ethereum 가상 머신,ماشین مجازی اتریوم,Mesin Maya Ethereum,Machine wey dey make Ethereum work,Mmaszyna wirtualna Ethereum,Máquina Virtual Ethereum,Mașină virtuală Ethereum,Виртуальная машина Ethereum,Máquina virtual de Ethereum,Ethereum Virtual Machine,เครื่องมือจำลอง Ethereum,Ethereum Sanal Makinesi,Віртуальна машина Ethereum,Máy ảo Ethereum,Ethereum Virtual Machine
Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan,Etherscan
EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR
EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM,EVM
exchange,بورصة,交易所,交易所,exchange/cryptobeurs,échange,Börse,ανταλλαγή,kasuwanci,एक्सचेंज,tőzsde,bursa,exchange,取引所,거래소,صرافی,pertukaran,platform wey you fit buy and sell crypto,Giełda,corretora,schimb,биржа,cambio,palitan,ตลาดแลกเปลี่ยน,borsa,біржа,sàn giao dịch,exchange
execution client,عميل التنفيذ,执行客户端,執行客戶端,uitvoeringsclient,client d’exécution,Ausführungs-Client,Πελάτης εκτέλεσης,abokin aiwatarwa na na'urar aiwatarwa na Ethereum,एक्सीक्यूशन क्लाइंट,végrehajtási kliens,Klien eksekusi,Client di esecuzione,実行クライアント,실행 클라이언트,کلاینت اجرا,klien pelaksanaan,software wey dey run transaction for Ethereum blockchain,Klient wykonawczy,cliente de execução,client de execuție,Клиент-исполнитель,cliente de ejecución,kliyente sa pagpapatupad,ไคลเอ็นต์ดำเนินการ,yürütme istemcisi,Виконавчий клієнт,ứng dụng thực thi,execution client
execution layer,طبقة التنفيذ,执行层,執行層,uitvoeringslaag,couche d’exécution,Ausführungs-Layer,Επίπεδο εκτέλεσης,matsayin aiwatarwa,एक्सीक्यूशन लेयर,végrehajtási réteg,Layer eksekusi,Layer di esecuzione,実行レイヤー,실행 레이어,لایه اجرا,lapisan pelaksanaan,part of di network wey dey handle di execution clients,Warstwa wykonawcza,camada de execução,layer de execuție,Слой исполнения,capa de ejecución,layer ng pagpapatupad,เลเยอร์ดำเนินการ,yürütme katmanı,Виконавчий рівень,lớp thực thi,execution layer
Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom,Fantom
faucet,صنبور العملة الرقمية,水龙头,水龍頭,faucet,faucet,Faucet,faucet,faucet,फॉसेट,csap,faucet,faucet,フォーセット,파우셋,درآمد قطره‌ای,faucet,app wey dey give small amount of free crypto for new users,Kranik / faucet,torneira,faucet,кран,grifo,faucet,ฟอเซ็ต,musluk,збирач,vòi,faucet
fault-tolerant,يتحمل الأعطال,容错,容錯,fouttolerant,tolérant aux pannes,fehlertolerant,ανοχή σε σφάλματα,ƙarfin jure kuskure,ग़लती को सहन करने वाला,hibatűrő,toleransi kesalahan,tolleranza ai guasti,フォールトトレラント,장애 허용,تحمل خطا,tahan ralat,system wey fit still work even if e get fault,odporność na błędy,tolerante a falhas,tolerant la erori,устойчивый к сбоям,tolerante a fallos,fault-tolerant,ทนต่อความผิดพร่อง,hataya dayanıklı,помилковостійкий,khả năng chịu lỗi,fault-tolerant
fiat currency,عملة ورقية,法币,法定貨幣,fiatgeld/fiduciair geld,devise fiat /monnaie fiat,Fiatwährung,παραστατικό χρήμα,kudin gargajiya,फिएट करेंसी,fiat valuta,mata uang fiat,moneta legale,法定通貨,명목화폐,ارز فیات,mata wang fiat,government money,Waluta fiat / pieniądz fiducjarny,moeda fiduciária,monedă fiduciară,фиатная валюта,moneda fiduciaria,fiat na salapi,เงินเฟียต,fiat para,фіатна валюта,tiền pháp định,fiat currency
finality,نهائي، نهائية,最终性,最終,finaliteit,finalité,Finalität,τελειωτικός διακανονισμός με βεβαιότητα,tabbatarwa,फाइनलिटी,véglegesség,finalitas,finality,"確定, ファイナリティ",완결성,قطعیت,muktamad,transaction don complete,ostateczność,finalização,finalitate,"завершение, завершенность",finalidad,"wakas, pangwakas",ยอดสรุปสุดท้าย,kesinlik,остаточність,cuối cùng,finality
finality rate,معدل النهائية,最终性概率,最終率,snelheid van finaliteit,taux de finalité,Finalitätsrate,Χρέωση βεβαιότητας,matsayin tabbatarwa,फाइनलिटी रेट,véglegességi arány,nilai finalitas,finality rate,ファイナリティの速度,완결율,نرخ قطعیت,kadar kemuktamadan,speed wey dem dey use confirmin transaction wey no fit change,ostateczność rozrachunku,taxa de finalização,taxă de finalitate,коэффициент завершенности,velocidad de finalidad,rate ng pangwakas,อัตราสุดท้าย,kesinlik oranı,коефіцієнт остаточності,tỷ lệ cuối cùng,finality rate
financial technology,التكنولوجيا المالية,金融科技,金融科技,financiële technologie,technologie financière,Finanztechnologie,χρηματοοικονομική τεχνολογία,fasaha ta kuɗi,फाइनेंसियल टेक्नोलॉजी,pénzügyi technológia,teknologi keuangan,tecnologia finanziaria,フィンテック,금융 기술,فناوری مالی,teknologi kewangan,technology wey change how people manage money,Technologie finansowe,tecnologia financeira,tehnologie financiară,финансовые технологии,tecnología financiera,financial technology,เทคโนโลยีทางการเงิน,finansal teknoloji,фінансові технології,công nghệ tài chính,financial technology
finney,فيني,芬尼,芬尼,finney,finney,Finney,finney,ƙananan sassan ETH,finney,finney,finney,finney,finney,피니,فینی,finney,finney,Finney,finney,finney,finney,finney,finney,ฟินนี่,finney,фінні,finney,finney
Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox,Firefox
firewall,جدار الحماية,防火墙,防火牆,firewall,pare-feu,Firewall,τείχος προστασίας,ƙwararren tsaro,फायरवॉल,tűzfal,firewall,firewall,ファイアウォール,방화벽,فایروال,tembok api,barrier wey protect your computer from bad things,zapora sieciowa,firewall,firewall,брандмауэр,cortafuegos,firewall,ไฟร์วอลล์,güvenlik duvarı,брандмауер,tường lửa,firewall
firmware,برنامج ثابت,固件,韌體,firmware,firmware,Firmware,υλικολογισμικό,firmware,फर्मवेयर,firmware,firmware,firmware,ファームウェア,펌웨어,سفت‌افزار,perisian tegar,software for your device,oprogramowanie sprzętowe,firmware,firmware,прошивка,firmware,firmware,เฟิร์มแวร์,donanım yazılımı,прошивка,phần cứng,firmware
fork,انقسام (فورك),分叉,分叉,fork,fork,Fork,ενημέρωση,rabuwa na Sarkar dijital,फोर्क (fork),elágazás,fork,fork,フォーク,포크,فورک,fork,"split in di network, two versions now",podział łańcucha,bifurcação,fork,форк,bifurcación,fork,แยก,çatal,форк,phân nhánh,fork
fractional ownership,ملكية جزئية,部分所有权,部分所有權,fractioneel eigendom,propriété fractionnée,Teilbesitz,κλασματική ιδιοκτησία,mallaka na kaso,फ्रेक्शनल ओनरशिप,töredéktulajdon,kepemilikan fraksional,multiproprietà,分割所有権,부분 소유권,مالکیت درصدی,pemilikan pecahan,you get small part of one big thing,własność częściowa,propriedade fracionada,proprietate fracționată,долевое владение,titularidad fraccionaria,fractional na pagmamay-ari,การถือครองกรรมสิทธิ์แบบสัดส่วน,fraksiyonel sahiplik,дробове володіння,phân quyền sở hữu,fractional ownership
fraud proof,إثبات الاحتيال,欺诈证明,欺詐證明,fraudebestendig,preuve de fraude,Betrugssicher,θωράκιση κατά της απάτης.,tsaro daga yaudara,फ्रॉड प्रूफ,csalásbiztosság,bukti penipuan,a prova di frode,不正証明,사기 증명,اثبات تقلب,kalis penipuan,dem get way to catch bad belle for some crypto,ochrona przed nadużyciami,prova de fraude,antifraudă,доказательство мошенничества,a prueba de fraude,patunay ng panloloko,การตรวจสอบแบบไม่ไว้ใจ,dolandırıcılık kanıtı,доказ шахрайства,bằng chứng gian lận,fraud proof
FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM,FTM
full node,عُقدة كاملة,全节点,完整節點,full node,nœud complet,Full Node,πλήρης κόμβος,na'ura Cikakke,फुल नोड,teljes csomópont,node penuh,nodo completo,フルノード,전체 노드,نود کامل,nod penuh,computer wey e download and keep the whole blockchain,Pełny węzeł,nó completo,nod complet,полный узел,nodo completo,ganap na node,โหนดเต็ม,tam düğüm,повний вузол,nút đầy đủ,full node
Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache,Ganache
gas,رسوم المعاملات,燃料,Gas,gas,gaz,Gas,συναλλαγή,gan fetur don sarrafa ma'amala,गैस,gáz,gas,gas,ガス,가스,گس,gas,wetin your transaction need to run on di network,Gaz,gás,gas,газ,gas,gas,แก๊ส,gaz,газ,gas,gas
gas fee,رسوم معاملات الشبكة,燃料费,礦工費,transactiekosten/gas fee,Frais de gaz,Gas-Gebühr,τέλη συναλλαγών,kudin man fetur don sarrafa ma'amala,गैस फीस,gázdíj,biaya gas,commissione del gas,ガス代,가스비,کارمزد گس,bayaran gas,moni wey you go pay make your crypto take waka,Opłata za gaz,taxa de gás,taxă de gas,плата за газ,tarifa de gas,bayad sa gas,ค่าแก๊ส,gaz ücreti,комісія за газ,phí gas,gas fee
gas limit,حد رسوم معاملات الشبكة,燃料限制,Gas 上限,maximale transactiekosten/gas limit,Limite de gaz,Gas-Limit,όριο συναλλαγών,Iyakar man fetur don sarrafa ma'amala,गैस लिमिट,gáz limit,batas gas,limite di gas,ガスリミット,가스 한도,حداکثر میزان گس,had gas,how much gas you go pay max,Limit gazu,limite de gás,limită de gas,лимит газа,límite de gas,limitasyon ng gas,ขีดจำกัดค่าแก๊ส,gaz limiti,ліміт газу,hạn mức phí gas,gas limit
gas price,سعر رسوم المعاملات,燃料价格,Gas 計價,gas price,Prix du gaz,Gas-Preis,αξία συναλλαγών,farashin man fetur don sarrafa ma'amala,गैस प्राइस,gáz ár,harga gas,prezzo gas,ガス価格,가스 가격,قیمت گس,harga gas,moni wey you go make your transaction waka sharp-sharp,Cena gazu,preço do gás,prețul gas-ului,цена газа,precio del gas,presyo ng gas,ราคาแก๊ส,gaz fiyatı,ціна на газ,giá gas,gas price
