"locale","key","term","partOfSpeech","termCategory","phonetic","definition","definitionSource","sampleSentence","extended","termSource","dateFirstRecorded","commentary"
"fr-FR","finality-rate","taux de finalité","","","","","","","","","",""
"fr-FR","financial-technology","technologie financière","","","","","","","","","",""
"fr-FR","finney","finney","","","","","","","","","",""
"fr-FR","firefox","Firefox","","","","","","","","","",""
"fr-FR","firewall","pare-feu","","","","","","","","","",""
"fr-FR","firmware","firmware","","","","","","","","","",""
"fr-FR","first-mover-advantage","First-Mover Advantage (FMA)","","","","A competitive advantage of the first project to bring a service or product into a new and unexplored market or industry.","https://academy.binance.com/fr/glossary/first-mover-advantage","","","https://academy.binance.com/fr/glossary/first-mover-advantage","2025-02-01",""
"fr-FR","fiscal-policy","Politique budgétaire","","","","Politique budgétaire | Définition : Une politique qui décrit comment les autorités ajustent les taux d’imposition d’un pays, influençant la façon dont les fonds publics devraient être collectés et utilisés.","https://academy.binance.com/fr/glossary/fiscal-policy","","","https://academy.binance.com/fr/glossary/fiscal-policy","2025-02-01",""
"fr-FR","flappening","Flappening","","","","The name to describe the moment when Litecoin (LTC) surpassed Bitcoin Cash (BCH) in terms of market capitalization","https://academy.binance.com/fr/glossary/flappening","","","https://academy.binance.com/fr/glossary/flappening","2025-02-01",""
"fr-FR","flashbots","Flashbots","","","","Découvrez Flashbots, une organisation de recherche et développement axée sur le perfectionnement des solutions blockchain liées à la MEV sur Ethereum.","https://academy.binance.com/fr/glossary/flashbots","","","https://academy.binance.com/fr/glossary/flashbots","2025-02-01",""
"fr-FR","flippening","Flippening","","","","The name to describe the moment when/if Ethereum (ETH) surpasses Bitcoin (BTC) in terms of market capitalization","https://academy.binance.com/fr/glossary/flippening","","","https://academy.binance.com/fr/glossary/flippening","2025-02-01",""
"fr-FR","flow-variable","Variable de flux","","","","Découvrez les variables de flux, des mesures qui reflètent la quantité d’un élément donné sur une période de temps spécifique. Découvrez ce que sont les variables de flux et examinez quelques exemples.","https://academy.binance.com/fr/glossary/flow-variable","","","https://academy.binance.com/fr/glossary/flow-variable","2025-02-01",""
"fr-FR","forced-liquidation","Forced Liquidation","","","","When a trader's leveraged position is forcibly closed as a result of it not fulfilling the necessary margin requirements.","https://academy.binance.com/fr/glossary/forced-liquidation","","","https://academy.binance.com/fr/glossary/forced-liquidation","2025-02-01",""
"fr-FR","forex-fx","Forex (FX)","","","","Forex stands for Foreign Exchange Markets. It's a global market for the trading of fiat currencies.","https://academy.binance.com/fr/glossary/forex-fx","","","https://academy.binance.com/fr/glossary/forex-fx","2025-02-01",""
"fr-FR","fork","fork","","","","Un fork est une divergence dans le réseau blockchain qui crée une scission dans l’historique des transactions de la blockchain. Il existe deux types de forks : les soft forks et les hard forks.","https://academy.binance.com/fr/glossary/fork","","","https://academy.binance.com/fr/glossary/fork","2025-02-01",""
"fr-FR","formal-verification","Formal Verification","","","","Using mathematically rigorous proofs to ensure certain properties of cryptographic algorithms and blockchain mechanisms","https://academy.binance.com/fr/glossary/formal-verification","","","https://academy.binance.com/fr/glossary/formal-verification","2025-02-01",""
"fr-FR","fractional-ownership","propriété fractionnée","","","","","","","","","",""
"fr-FR","fraud-proof","preuve de fraude","","","","Une preuve de fraude est une preuve cryptographique qu’un vérificateur soumet pour contester la validité d’une transaction. Les preuves de fraude sont largement utilisées pour l’évolutivité de la blockchain.","https://academy.binance.com/fr/glossary/fraud-proof","","","https://academy.binance.com/fr/glossary/fraud-proof","2025-02-01",""
"fr-FR","fren","Fren","","","","« Fren » est un terme d’argot en ligne utilisé pour s’adresser à quelqu’un de manière amicale. Le terme a vu le jour dans les communautés numériques et est largement utilisé dans la communauté crypto.","https://academy.binance.com/fr/glossary/fren","","","https://academy.binance.com/fr/glossary/fren","2025-02-01",""
"fr-FR","ftm","FTM","","","","","","","","","",""
"fr-FR","full-node","nœud complet","","","","Computer that fully implements the entirety of rules of an underlying blockchain network and validates transactions on a blockchain.","https://academy.binance.com/fr/glossary/full-node","","","https://academy.binance.com/fr/glossary/full-node","2025-02-01",""
"fr-FR","fully-diluted-valuation-fdv","Fully Diluted Valuation (FDV)","","","","Fully Diluted Valuation (FDV) is a metric that tells us what a crypto project’s market value could be if all its tokens were available for trading now.","https://academy.binance.com/fr/glossary/fully-diluted-valuation-fdv","","","https://academy.binance.com/fr/glossary/fully-diluted-valuation-fdv","2025-02-01",""
"fr-FR","fundamental-analysis","Analyse fondamentale (AF)","","","","Analyse fondamentale | Définition : évaluer un actif en fonction de ses caractéristiques et traits sous-jacents dans le but d’obtenir une valeur intrinsèque.","https://academy.binance.com/fr/glossary/fundamental-analysis","","","https://academy.binance.com/fr/glossary/fundamental-analysis","2025-02-01",""
"fr-FR","funding-fees","Frais de financement","","","","Les frais de financement sont des paiements effectués entre des traders détenant des positions long (achat) ou short (vente) sur les marchés perpétuels de Futures.","https://academy.binance.com/fr/glossary/funding-fees","","","https://academy.binance.com/fr/glossary/funding-fees","2025-02-01",""
"fr-FR","fungibility","Fungibility","","","","The property of an asset whose individual units are indistinguishable from each other in terms of value and functionality.","https://academy.binance.com/fr/glossary/fungibility","","","https://academy.binance.com/fr/glossary/fungibility","2025-02-01",""
"fr-FR","futures-contract","Futures Contract","","","","A legal agreement made between a buyer and a seller to trade an asset at a predefined price and date in the future.","https://academy.binance.com/fr/glossary/futures-contract","","","https://academy.binance.com/fr/glossary/futures-contract","2025-02-01",""
"fr-FR","gamefi","GameFi","","","","La GameFi est une section de la DeFi qui fusionne la technologie blockchain et les jeux, offrant des incitations Play-to-Earn (Jouer pour gagner) pour gagner des NFT et des cryptomonnaies.","https://academy.binance.com/fr/glossary/gamefi","","","https://academy.binance.com/fr/glossary/gamefi","2025-02-01",""
"fr-FR","ganache","Ganache","","","","","","","","","",""
"fr-FR","gas","gaz","","","","Gas | Définition : le mécanisme de tarification utilisé sur la blockchain d’Ethereum pour calculer les coûts des opérations des smart contracts et les frais de transaction.","https://academy.binance.com/fr/glossary/gas","","","https://academy.binance.com/fr/glossary/gas","2025-02-01",""
"fr-FR","gas-fee","Frais de gaz","","","","","","","","","",""
"fr-FR","gas-limit","Limite de gaz","","","","Maximum price a cryptocurrency user is willing to pay as a fee when sending a transaction, or performing a smart contract function.","https://academy.binance.com/fr/glossary/gas-limit","","","https://academy.binance.com/fr/glossary/gas-limit","2025-02-01",""
"fr-FR","gas-price","Prix du gaz","","","","","","","","","",""
"fr-FR","gas-station-network","Gas Station Network","","","","","","","","","",""
"fr-FR","gbp","GBP","","","","","","","","","",""
"fr-FR","gdp-deflator","Déflateur du PIB","","","","Découvrez le déflateur du PIB, un outil économique qui mesure l’inflation des biens et services produits dans un pays. Découvrez ses cas d’utilisation dans le domaine de la crypto.","https://academy.binance.com/fr/glossary/gdp-deflator","","","https://academy.binance.com/fr/glossary/gdp-deflator","2025-02-01",""
"fr-FR","general-public-license","General Public License","","","","License allowing users to copy and modify software, but requires the works to be distributed under the same license.","https://academy.binance.com/fr/glossary/general-public-license","","","https://academy.binance.com/fr/glossary/general-public-license","2025-02-01",""
"fr-FR","genesis-block","bloc initial","","","","The first ever block recorded on its respective blockchain network, also referred to as Block 0 or Block 1.","https://academy.binance.com/fr/glossary/genesis-block","","","https://academy.binance.com/fr/glossary/genesis-block","2025-02-01",""
"fr-FR","gitcoin","Gitcoin","","","","","","","","","",""
"fr-FR","github","GitHub","","","","A site/system/folder/repository where a team can share, collaborate, and save their open source or proprietary code.","https://academy.binance.com/fr/glossary/github","","","https://academy.binance.com/fr/glossary/github","2025-02-01",""
"fr-FR","gm-good-morning","GM (Good Morning)","","","","GM signifie « Good Morning », soit « Bonjour » en anglais. Son utilisation dans la communauté crypto reflète la nature inclusive et collaborative de l’écosystème.","https://academy.binance.com/fr/glossary/gm-good-morning","","","https://academy.binance.com/fr/glossary/gm-good-morning","2025-02-01",""
"fr-FR","goerli","Goerli","","","","","","","","","",""
"fr-FR","golden-cross","Golden Cross","","","","A bullish chart pattern where a shorter-term moving average crosses above a longer-term moving average.","https://academy.binance.com/fr/glossary/golden-cross","","","https://academy.binance.com/fr/glossary/golden-cross","2025-02-01",""
"fr-FR","golden-ratio","Nombre d’or","","","","Percez les secrets du nombre d’or dans le trading ! Découvrez comment les niveaux de retracement de Fibonacci s’alignent sur cette merveille mathématique, influençant l’analyse du marché.","https://academy.binance.com/fr/glossary/golden-ratio","","","https://academy.binance.com/fr/glossary/golden-ratio","2025-02-01",""
"fr-FR","goldilocks","Goldilocks (Boucles d’or)","","","","Découvrez l’incidence du principe Boucles d’or en économie, ses implications pour les marchés des cryptomonnaies et comment il influence le sentiment des investisseurs.","https://academy.binance.com/fr/glossary/goldilocks","","","https://academy.binance.com/fr/glossary/goldilocks","2025-02-01",""
"fr-FR","gossip-protocol","Gossip Protocol","","","","A particular method of asynchronous peer-to-peer communication between computer nodes of a distributed system.","https://academy.binance.com/fr/glossary/gossip-protocol","","","https://academy.binance.com/fr/glossary/gossip-protocol","2025-02-01",""
"fr-FR","governance","gouvernance","","","","","","","","","",""
"fr-FR","gross-domestic-product-gdp","Produit intérieur brut (PIB)","","","","Découvrez ce qu’est le produit intérieur brut (PIB), comment il est calculé, sa répercussion sur les marchés financiers et des cryptomonnaies, et pourquoi il est important dans notre économie.","https://academy.binance.com/fr/glossary/gross-domestic-product-gdp","","","https://academy.binance.com/fr/glossary/gross-domestic-product-gdp","2025-02-01",""
"fr-FR","gsn","GSN","","","","","","","","","",""
"fr-FR","gwei","gwei","","","","Gwei | Définition : Une dénomination pour une faible quantité d’ether. Le Gwei est largement utilisé comme mesure des prix du gas. 1 000 000 000 wei = 1 Giga wei (Gwei)","https://academy.binance.com/fr/glossary/gwei","","","https://academy.binance.com/fr/glossary/gwei","2025-02-01",""
"fr-FR","hackathon","Hackathon","","","","A blockchain hackathon is a competition where participants build sample applications atop a blockchain ecosystem.","https://academy.binance.com/fr/glossary/hackathon","","","https://academy.binance.com/fr/glossary/hackathon","2025-02-01",""
"fr-FR","hacker","Hacker","","","","An individual that has an advanced understanding of computer systems and networks, including programmers and cybersecurity experts.","https://academy.binance.com/fr/glossary/hacker","","","https://academy.binance.com/fr/glossary/hacker","2025-02-01",""
"fr-FR","haha-money-printer-go-brrrrr","Haha Money Printer Go Brrrrr","","","","Haha Money Printer Go Brrrrr is meme created in response to the Federal Reserve's 2020 plan to print money.","https://academy.binance.com/fr/glossary/haha-money-printer-go-brrrrr","","","https://academy.binance.com/fr/glossary/haha-money-printer-go-brrrrr","2025-02-01",""
"fr-FR","halving","réduction de moitié","","","","Le halving est un processus qui réduit de moitié la récompense de bloc d’une crypto à preuve de travail (PoW) comme le Bitcoin (BTC). Le prochain halving du Bitcoin est prévu en 2024.","https://academy.binance.com/fr/glossary/halving","","","https://academy.binance.com/fr/glossary/halving","2025-02-01",""
"fr-FR","hard-cap","Hard Cap","","","","The maximum amount of funds a project intends to raise during their Initial Coin Offering (ICO) or alternative fundraising event.","https://academy.binance.com/fr/glossary/hard-cap","","","https://academy.binance.com/fr/glossary/hard-cap","2025-02-01",""
"fr-FR","hard-fork","hard fork--embranchement dur","","","","","","","","","",""
"fr-FR","hard-landing","Hard Landing","","","","En termes économiques, un hard landing fait référence à une situation où une économie passe rapidement de la croissance à une croissance lente ou à une récession.","https://academy.binance.com/fr/glossary/hard-landing","","","https://academy.binance.com/fr/glossary/hard-landing","2025-02-01",""
"fr-FR","hardware-wallet","portefeuille matériel","","","","","","","","","",""
"fr-FR","harmony","Harmony","","","","","","","","","",""
"fr-FR","hash","hachage","","","","The output produced by a hash function after a piece of data is mapped. May also be referred to as hash value, hash code, or digest.","https://academy.binance.com/fr/glossary/hash","","","https://academy.binance.com/fr/glossary/hash","2025-02-01",""
"fr-FR","hash-rate","Hash Rate","","","","The speed at which a computer or mining hardware is able to calculate new hashes. Usually measured in hashes per second.","https://academy.binance.com/fr/glossary/hash-rate","","","https://academy.binance.com/fr/glossary/hash-rate","2025-02-01",""
"fr-FR","hashed-timelock-contract","Hashed TimeLock Contract (HTLC)","","","","Refers to a special feature that is used to create smart contracts that are able to modify payment channels.","https://academy.binance.com/fr/glossary/hashed-timelock-contract","","","https://academy.binance.com/fr/glossary/hashed-timelock-contract","2025-02-01",""
"fr-FR","hd-wallet","portefeuille déterministe hiérarchique (HD)","","","","","","","","","",""
"fr-FR","herd-instinct","Instinct grégaire","","","","L’instinct grégaire décrit un phénomène où les traders ont tendance à répéter les actions de la foule, souvent sans faire leurs propres recherches.","https://academy.binance.com/fr/glossary/herd-instinct","","","https://academy.binance.com/fr/glossary/herd-instinct","2025-02-01",""
"fr-FR","hex-data","Données hexadécimales","","","","","","","","","",""
"fr-FR","high-frequency-trading-hft","High-Frequency Trading (HFT)","","","","A type of algorithmic trading that involves the execution of a large number of orders in fractions of a second.","https://academy.binance.com/fr/glossary/high-frequency-trading-hft","","","https://academy.binance.com/fr/glossary/high-frequency-trading-hft","2025-02-01",""
"fr-FR","hodl","HODL","","","","A typo of 'Hold' originating from bitcointalk that has also been retrofitted to be an acronym for Hold on for Dear Life.","https://academy.binance.com/fr/glossary/hodl","","","https://academy.binance.com/fr/glossary/hodl","2025-02-01",""
"fr-FR","honeypot","Honeypot","","","","A mechanism used in computer security used to detect or counteract unauthorized access of information systems.","https://academy.binance.com/fr/glossary/honeypot","","","https://academy.binance.com/fr/glossary/honeypot","2025-02-01",""
"fr-FR","hot-storage","stockage connecté","","","","","","","","","",""
"fr-FR","hot-wallet","Portefeuille connecté","","","","","","","","","",""
"fr-FR","hybrid-network","réseau hybride","","","","","","","","","",""
"fr-FR","hyperledger","Hyperledger","","","","","","","","","",""
"fr-FR","ibc","IBC","","","","","","","","","",""
"fr-FR","iceberg-order","Iceberg Order","","","","Conditional order to buy or sell a large amount of assets in smaller quantities to conceal the total order quantity.","https://academy.binance.com/fr/glossary/iceberg-order","","","https://academy.binance.com/fr/glossary/iceberg-order","2025-02-01",""
"fr-FR","ico","ICO","","","","","","","","","",""
"fr-FR","id","ID","","","","","","","","","",""
"fr-FR","immutability","immutabilité","","","","The inability to change or be changed. One of the core features behind Bitcoin and blockchain technology.","https://academy.binance.com/fr/glossary/immutability","","","https://academy.binance.com/fr/glossary/immutability","2025-02-01",""
"fr-FR","index-funds","Fonds indiciels","","","","Découvrez les fonds indiciels, leur fonctionnement, leurs avantages et inconvénients, ainsi que leur impact potentiel sur les marchés de la blockchain et des cryptomonnaies.","https://academy.binance.com/fr/glossary/index-funds","","","https://academy.binance.com/fr/glossary/index-funds","2025-02-01",""
"fr-FR","infura","Infura","","","","","","","","","",""
"fr-FR","initial-coin-offering","Initial Coin Offering (ICO)","","","","A fundraising method in which new projects will sell their cryptocurrency to investors.","https://academy.binance.com/fr/glossary/initial-coin-offering","","","https://academy.binance.com/fr/glossary/initial-coin-offering","2025-02-01",""
"fr-FR","initial-dex-offering-ido","Offre initiale de DEX (IDO)","","","","Une offre initiale de DEX (IDO) est un type de méthode de collecte de fonds blockchain. Il s’agit d’une vente publique de tokens réalisée directement sur une plateforme décentralisée (DEX)","https://academy.binance.com/fr/glossary/initial-dex-offering-ido","","","https://academy.binance.com/fr/glossary/initial-dex-offering-ido","2025-02-01",""
"fr-FR","initial-exchange-offering","Initial Exchange Offering (IEO)","","","","The fundraising will be conducted on a well-known exchange’s fundraising platform, such as Binance Launchpad","https://academy.binance.com/fr/glossary/initial-exchange-offering","","","https://academy.binance.com/fr/glossary/initial-exchange-offering","2025-02-01",""
"fr-FR","initial-public-offering","Initial Public Offering (IPO)","","","","Refers to the moment a private company starts offering its shares to the public for the first time.","https://academy.binance.com/fr/glossary/initial-public-offering","","","https://academy.binance.com/fr/glossary/initial-public-offering","2025-02-01",""
"fr-FR","inscription","Inscription","","","","Un élément de données, tel que du texte, des images ou du code, ajouté aux plus petites unités de Bitcoin, les satoshis, et stocké sur la blockchain","https://academy.binance.com/fr/glossary/inscription","","","https://academy.binance.com/fr/glossary/inscription","2025-02-01",""
"fr-FR","insider-trading","délit d’initié","","","","","","","","","",""
"fr-FR","integrated-circuit","Integrated Circuit (IC)","","","","A small chip, typically made of silicon, that holds a set of electronic parts such as transistors, resistors or capacitors.","https://academy.binance.com/fr/glossary/integrated-circuit","","","https://academy.binance.com/fr/glossary/integrated-circuit","2025-02-01",""
"fr-FR","interest-rates","Taux d’intérêt","","","","Les taux d’intérêt peuvent se référer soit au coût d’emprunt de l’argent, soit au rendement gagné sur un investissement, généralement exprimé en pourcentage du capital.","https://academy.binance.com/fr/glossary/interest-rates","","","https://academy.binance.com/fr/glossary/interest-rates","2025-02-01",""
"fr-FR","internal-transaction","transaction interne","","","","","","","","","",""
"fr-FR","interoperability","interopérabilité","","","","A concept of allowing blockchains to be compatible with each other and build upon each other's features and use-cases.","https://academy.binance.com/fr/glossary/interoperability","","","https://academy.binance.com/fr/glossary/interoperability","2025-02-01",""
"fr-FR","interplanetary-file-system-(ipfs)","InterPlanetary File System (IPFS)","","","","","","","","","",""
"fr-FR","interplanetary-file-system-ipfs","InterPlanetary File System (IPFS)","","","","An open-source project building a protocol for distributed content storage and access.","https://academy.binance.com/fr/glossary/interplanetary-file-system-ipfs","","","https://academy.binance.com/fr/glossary/interplanetary-file-system-ipfs","2025-02-01",""
"fr-FR","iou","IOU (I owe you)","","","","IOU (I owe you) | Définition : acronyme qui signifie « Je te dois » et fait référence à un document informel qui reconnaît une dette qu’une partie doit à une autre.","https://academy.binance.com/fr/glossary/iou","","","https://academy.binance.com/fr/glossary/iou","2025-02-01",""
"fr-FR","ip-address","Adresse IP","","","","","","","","","",""
"fr-FR","ipfs","IPFS","","","","","","","","","",""
"fr-FR","ipo","IPO","","","","","","","","","",""
"fr-FR","isolated-margin","Isolated Margin","","","","The margin balance allocated to a position. Traders can manage risk by restricting the amount allocated to each position.","https://academy.binance.com/fr/glossary/isolated-margin","","","https://academy.binance.com/fr/glossary/isolated-margin","2025-02-01",""
"fr-FR","issuance","Issuance","","","","Generation of a new cryptocurrency which occurs in a variety of different ways, depending on parameters specified by the creators.","https://academy.binance.com/fr/glossary/issuance","","","https://academy.binance.com/fr/glossary/issuance","2025-02-01",""
"fr-FR","json-file","Fichier JSON","","","","","","","","","",""
"fr-FR","json-rpc","JSON-RPC","","","","","","","","","",""
"fr-FR","keccak","Keccak","","","","Keccak | Définition : une fonction cryptographique polyvalente conçue par Guido Bertoni, Joan Daemen, Michaël Peeters et Gilles Van Assche.","https://academy.binance.com/fr/glossary/keccak","","","https://academy.binance.com/fr/glossary/keccak","2025-02-01",""
"fr-FR","keystore-file","fichier keystore","","","","","","","","","",""
"fr-FR","know-your-customer","Vérification de l'identité des clients","","","","Know Your Customer (Connaissance du client) | Définition : une procédure standard dans le secteur financier qui permet aux entreprises d’identifier leurs clients et de se conformer aux lois KYC de LBC","https://academy.binance.com/fr/glossary/know-your-customer","","","https://academy.binance.com/fr/glossary/know-your-customer","2025-02-01",""
"fr-FR","know-your-transaction","Vérification des données de transaction","","","","","","","","","",""
"fr-FR","kovan","Kovan","","","","","","","","","",""
"fr-FR","kyc","KYC","","","","","","","","","",""
"fr-FR","kyt","KYT","","","","","","","","","",""
"fr-FR","laspeyres-index","Indice de Laspeyres","","","","Découvrez l’indice de Laspeyres, un outil permettant de mesurer les variations de prix au fil du temps. Découvrez ses utilisations sur les marchés classiques et ses applications dans le domaine des cryptomonnaies.","https://academy.binance.com/fr/glossary/laspeyres-index","","","https://academy.binance.com/fr/glossary/laspeyres-index","2025-02-01",""
"fr-FR","latency","Latency","","","","The time between submitting a transaction to a network and the first confirmation of acceptance by the network.","https://academy.binance.com/fr/glossary/latency","","","https://academy.binance.com/fr/glossary/latency","2025-02-01",""
"fr-FR","lattice1","Lattice1","","","","","","","","","",""
"fr-FR","launchpad","Launchpad","","","","","","","","","",""
"fr-FR","law-of-demand","Law of Demand","","","","The law of demand relates to the willingness of consumers to buy a specific amount of goods or services for a particular price.","https://academy.binance.com/fr/glossary/law-of-demand","","","https://academy.binance.com/fr/glossary/law-of-demand","2025-02-01",""
"fr-FR","layer-1","couche 1","","","","","","","","","",""
"fr-FR","layer-2","couche 2","","","","A secondary framework or protocol that is built on top of an existing blockchain system to provide increased scalability.","https://academy.binance.com/fr/glossary/layer-2","","","https://academy.binance.com/fr/glossary/layer-2","2025-02-01",""
"fr-FR","ledger","Ledger","","","","A physical book or a digital computer file where monetary and financial transactions are tracked and recorded.","https://academy.binance.com/fr/glossary/ledger","","","https://academy.binance.com/fr/glossary/ledger","2025-02-01",""
"fr-FR","ledger-live","Ledger Live","","","","","","","","","",""
"fr-FR","ledger-live-app","Ledger Live App","","","","","","","","","",""
"fr-FR","leveraged-tokens","Leveraged Tokens","","","","Leveraged tokens are a type of cryptocurrency derivative that allows traders to gain leveraged exposure to a particular cryptocurrency without having to manage the margin requirements.","https://academy.binance.com/fr/glossary/leveraged-tokens","","","https://academy.binance.com/fr/glossary/leveraged-tokens","2025-02-01",""
"fr-FR","library","bibliothèque","","","","A collection of stable resources, which may include executable files, documentation, message templates, and written code.","https://academy.binance.com/fr/glossary/library","","","https://academy.binance.com/fr/glossary/library","2025-02-01",""
"fr-FR","lido","Lido","","","","","","","","","",""
"fr-FR","light-client","client léger","","","","","","","","","",""
"fr-FR","lightning-network","Lightning Network","","","","A second layer operating on top of a blockchain, enabling increased transaction speed among participating nodes.","https://academy.binance.com/fr/glossary/lightning-network","","","https://academy.binance.com/fr/glossary/lightning-network","2025-02-01",""
"fr-FR","limit-order","Ordre Limit","","","","Découvrez les ordres Limit dans le trading et comment ils peuvent vous aider à contrôler les prix de transaction, à éviter le slippage (glissement) et à naviguer efficacement sur les marchés volatils.","https://academy.binance.com/fr/glossary/limit-order","","","https://academy.binance.com/fr/glossary/limit-order","2025-02-01",""
"fr-FR","linea","Linea","","","","","","","","","",""
"fr-FR","linux","Linux","","","","A popular open-source operating system, created in 1991 by Linus Torvalds. It is used in a wide range of devices around the world.","https://academy.binance.com/fr/glossary/linux","","","https://academy.binance.com/fr/glossary/linux","2025-02-01",""
"fr-FR","liquid-staking","Staking liquide","","","","Le staking liquide est une méthode populaire de farming de rendement dans laquelle les utilisateurs tokenisent leurs actifs stakés pour améliorer la liquidité et la flexibilité des plateformes DeFi.","https://academy.binance.com/fr/glossary/liquid-staking","","","https://academy.binance.com/fr/glossary/liquid-staking","2025-02-01",""
"fr-FR","liquid-staking-token-lst","Token de staking liquide (TSL)","","","","Découvrez les tokens de staking liquides (TSL) dans le domaine crypto. Apprenez à débloquer la liquidité et la flexibilité pour les actifs stakés. Découvrez les possibilités de gains avec le WBETH et la DeFi.","https://academy.binance.com/fr/glossary/liquid-staking-token-lst","","","https://academy.binance.com/fr/glossary/liquid-staking-token-lst","2025-02-01",""
"fr-FR","liquidation","liquidation","","","","","","","","","",""
"fr-FR","liquidity","liquidités","","","","The ability to sell or buy any given asset without causing significant fluctuations in the market price for that asset.","https://academy.binance.com/fr/glossary/liquidity","","","https://academy.binance.com/fr/glossary/liquidity","2025-02-01",""
"fr-FR","liquidity-crisis","Crise de liquidité","","","","Une crise de liquidité est une situation financière dans laquelle un individu, une organisation ou un marché fait face à une pénurie de liquidités. Cette pénurie rend difficile le respect des obligations financières immédiates.","https://academy.binance.com/fr/glossary/liquidity-crisis","","","https://academy.binance.com/fr/glossary/liquidity-crisis","2025-02-01",""
"fr-FR","liquidity-pool","pool de liquidités","","","","","","","","","",""
"fr-FR","liquidity-provider","Fournisseurs de liquidités","","","","Les fournisseurs de liquidité (LP) sont des entités ou des personnes qui fournissent des ordres d’achat et de vente aux marchés financiers afin d’accroître la liquidité du marché et d’en assurer la stabilité et l’efficacité.","https://academy.binance.com/fr/glossary/liquidity-provider","","","https://academy.binance.com/fr/glossary/liquidity-provider","2025-02-01",""
"fr-FR","liquidity-ratios","Ratios de liquidité","","","","Les ratios de liquidité sont un type d’indicateur financier utilisé pour mesurer la capacité d’une entreprise à payer ses obligations à court terme.","https://academy.binance.com/fr/glossary/liquidity-ratios","","","https://academy.binance.com/fr/glossary/liquidity-ratios","2025-02-01",""
"fr-FR","liquidity-staking","staking liquide","","","","","","","","","",""
"fr-FR","listing","Listing","","","","The addition of an asset to an exchange either as a request from the project team or as a decision made by the exchange.","https://academy.binance.com/fr/glossary/listing","","","https://academy.binance.com/fr/glossary/listing","2025-02-01",""
"fr-FR","mainnet","réseau principal Ethereum (mainnet)","","","","Réseau principal | Définition : Un protocole blockchain qui est entièrement développé et déployé sur lequel les transactions sont diffusées, vérifiées et enregistrées.","https://academy.binance.com/fr/glossary/mainnet","","","https://academy.binance.com/fr/glossary/mainnet","2025-02-01",""
"fr-FR","mainnet-swap","Mainnet Swap","","","","When a coin migrates from a third party platform such as Ethereum or other token to a native on-chain token on their mainnet.","https://academy.binance.com/fr/glossary/mainnet-swap","","","https://academy.binance.com/fr/glossary/mainnet-swap","2025-02-01",""
"fr-FR","maker","Maker","","","","When you place an order and it does not trade immediately, your order stays in the order book for someone else to fill/match with it.","https://academy.binance.com/fr/glossary/maker","","","https://academy.binance.com/fr/glossary/maker","2025-02-01",""
"fr-FR","maker-protocol","Protocole Maker","","","","","","","","","",""
"fr-FR","malware","programme malveillant","","","","Any software program or code that is created to infiltrate and intentionally cause damage to computer systems and networks.","https://academy.binance.com/fr/glossary/malware","","","https://academy.binance.com/fr/glossary/malware","2025-02-01",""
"fr-FR","margin-trading","Margin Trading","","","","Trading using borrowed funds  - note: this is a high risk strategy and should only be done by experienced investors.","https://academy.binance.com/fr/glossary/margin-trading","","","https://academy.binance.com/fr/glossary/margin-trading","2025-02-01",""
"fr-FR","market-cap","capitalisation boursière","","","","","","","","","",""
"fr-FR","market-capitalization","Capitalisation","","","","Capitalisation | Définition : La valeur totale de trading d’une cryptomonnaie donnée, calculée par le produit de la supply (l’offre) de la crypto et de son cours actuel.","https://academy.binance.com/fr/glossary/market-capitalization","","","https://academy.binance.com/fr/glossary/market-capitalization","2025-02-01",""
"fr-FR","market-momentum","Market Momentum","","","","The ability of a certain market to maintain a continuous increase or decrease in price within a particular timeframe.","https://academy.binance.com/fr/glossary/market-momentum","","","https://academy.binance.com/fr/glossary/market-momentum","2025-02-01",""
"fr-FR","market-order","Ordre Market (Ordre au marché)","","","","Ordre de Market | Définition : lorsqu’un taker choisit la meilleure offre ou demande disponible pour une cryptomonnaie, en prenant le prix et la quantité disponibles sur le carnet d’ordres.","https://academy.binance.com/fr/glossary/market-order","","","https://academy.binance.com/fr/glossary/market-order","2025-02-01",""
"fr-FR","masternode","Masternode","","","","Nodes on a network that often require a minimum amount of a given coin staked in order to access staking rewards.","https://academy.binance.com/fr/glossary/masternode","","","https://academy.binance.com/fr/glossary/masternode","2025-02-01",""
"fr-FR","matching-engine","Moteur d’appariement","","","","Un moteur d’appariement est un logiciel conçu pour traiter les ordres de trading, garantissant ainsi que les acheteurs et les vendeurs sont correctement payés sur les marchés financiers.","https://academy.binance.com/fr/glossary/matching-engine","","","https://academy.binance.com/fr/glossary/matching-engine","2025-02-01",""
"fr-FR","matic","MATIC","","","","","","","","","",""
"fr-FR","maximum-supply","Maximum Supply","","","","Refers to the maximum number of coins or tokens that will be ever created for a given cryptocurrency.","https://academy.binance.com/fr/glossary/maximum-supply","","","https://academy.binance.com/fr/glossary/maximum-supply","2025-02-01",""
"fr-FR","memory-pool","pool de stockage des transactions","","","","","","","","","",""
"fr-FR","mempool","mempool","","","","A node’s mechanism for keeping track of unconfirmed transactions that the node has seen (but have not yet been added to a block).","https://academy.binance.com/fr/glossary/mempool","","","https://academy.binance.com/fr/glossary/mempool","2025-02-01",""
"fr-FR","mercuryo","Mercuryo","","","","","","","","","",""
"fr-FR","merge","Fusion","","","","","","","","","",""
